count,regionid,Zip,zindex,latitude3,longitude4
70,97711,94501,727800,37.774867,-122.28225
70,97743,94536,693800,37.567199,-121.985644
70,97751,94544,443000,37.636879,-122.049262
70,97745,94538,644400,37.507776,-121.986317
70,97748,94541,436400,37.674246,-122.084069
70,97792,94587,604100,37.596512,-122.040151
70,97774,94568,672000,37.721174,-121.90823
70,97813,94611,942300,37.831995,-122.221025
70,97783,94577,469000,37.715987,-122.165771
70,97753,94546,581500,37.7208,-122.088192
70,97807,94605,401400,37.756685,-122.154496
70,97746,94539,1192900,37.525532,-121.893289
70,97812,94610,867900,37.811413,-122.239388
70,97772,94566,919800,37.655856,-121.855452
70,97803,94601,320000,37.775237,-122.216604
70,97808,94606,393700,37.790132,-122.245955
70,97810,94608,477100,37.83425,-122.293282
70,97784,94578,437300,37.705191,-122.128599
70,97758,94551,563900,37.768968,-121.740906
70,97766,94560,581900,37.520668,-122.049433
70,97793,94588,789400,37.739263,-121.89691
70,97804,94602,660100,37.804975,-122.206076
70,97809,94607,409500,37.809507,-122.302709
70,97761,94555,722200,37.55126,-122.080624
70,97811,94609,667700,37.834618,-122.264076
70,97752,94545,455700,37.613074,-122.118847
70,97805,94603,255500,37.733994,-122.178421
70,97820,94619,533000,37.785999,-122.152451
70,97822,94621,231600,37.733509,-122.211078
70,97814,94612,442700,37.808844,-122.269828
70,97786,94580,447900,37.679222,-122.135565
70,97838,94704,790100,37.866938,-122.254387
70,97837,94703,729400,37.865311,-122.27465
70,97840,94706,718100,37.889854,-122.29494
70,97836,94702,688800,37.864303,-122.28732
70,97819,94618,1021600,37.84497,-122.238409
70,97785,94579,469700,37.686215,-122.163512
70,97839,94705,1263400,37.871848,-122.241506
70,97843,94709,772100,37.8791,-122.260684
70,97841,94707,1003600,37.900095,-122.278472
70,97712,94502,733400,37.737429,-122.247779
70,97759,94552,823300,37.704188,-122.028782
70,97749,94542,669000,37.661586,-122.041586
70,97842,94708,997000,37.90451,-122.254515
70,98166,95391,487100,37.775998,-121.59363
70,97844,94710,662800,37.87277,-122.306845
70,97791,94586,,37.563809,-121.822944
70,97821,94620,,37.829999,-122.249999
70,97722,94514,,37.82027,-121.638984
70,97747,94540,,37.656169,-122.096111
70,97824,94623,,37.804644,-122.300832
70,97806,94604,,37.801269,-122.265747
70,97815,94613,,37.782444,-122.187749
70,97832,94661,,37.83,-122.21
70,97763,94557,,37.633336,-122.097325
70,97833,94662,,37.842735,-122.291854
70,97744,94537,,37.55,-121.969999
70,97846,94720,,37.863459,-122.288707
70,97845,94712,,37.869241,-122.268763
70,97831,94660,,37.8,-122.269999
70,97750,94543,,37.670889,-122.083909
70,97825,94624,,37.748131,-122.173858
70,97835,94701,,37.869015,-122.270492
70,97818,94617,,37.8,-122.269999
70,97816,94614,,37.73003,-122.202606
70,97817,94615,,37.796266,-122.250316
70,97823,94622,,37.74,-122.189999
70,97829,94649,,37.829999,-122.292255
70,97830,94659,,37.8,-122.269999
70,97834,94666,,37.807971,-122.263853
1,98639,96120,,38.728393,-119.820983
11,98337,95642,257600,38.333482,-120.751373
11,98335,95640,227400,38.32963,-120.930794
11,98376,95685,275600,38.419426,-120.735085
11,98356,95665,241700,38.390288,-120.658465
11,98360,95669,,38.463219,-120.885653
11,98380,95689,240900,38.481228,-120.574753
11,98366,95675,,38.546255,-120.742378
11,98297,95601,,38.425447,-120.83229
