id2,name,zindex,latitude3,longitude4
12447,Los Angeles,521800,34.020921,-118.411732
54296,San Diego,488800,32.824552,-117.10289
33839,San Jose,727300,37.297016,-121.817409
20330,San Francisco,982900,37.770662,-122.437399
18203,Fresno,173900,36.785534,-119.79456
20288,Sacramento,253700,38.571943,-121.443186
46298,Long Beach,480500,33.806589,-118.156108
13072,Oakland,487700,37.792002,-122.228796
16764,Anaheim,469600,33.835232,-117.846098
47568,Santa Ana,411800,33.738054,-117.887413
47401,Riverside,296200,33.925905,-117.399528
3506,Bakersfield,197700,35.354482,-118.992256
7266,Stockton,192800,37.973024,-121.301881
25934,Modesto,202900,37.627038,-121.022602
20328,San Bernardino,195500,34.182995,-117.337649
24225,Corona,441400,33.815493,-117.54049
51405,Chula Vista,417400,32.631766,-117.020955
24741,Fontana,301500,34.117788,-117.462567
11540,Fremont,736100,37.529387,-122.00847
52650,Irvine,747200,33.687,-117.774251
13150,Oxnard,398400,34.185277,-119.139518
26967,Santa Rosa,443100,38.460124,-122.687379
6285,Oceanside,416900,33.330076,-117.417367
45457,Glendale,659500,34.192997,-118.244926
25218,Huntington Beach,682500,33.692536,-118.020173
54288,Salinas,352400,36.673588,-121.597393
25981,Moreno Valley,245400,33.920065,-117.138775
5534,Lancaster,198500,34.742058,-118.209698
18518,Hayward,447700,37.628581,-122.041381
13108,Ontario,326600,34.033953,-117.613221
40492,Rancho Cucamonga,434600,34.163747,-117.55055
24832,Garden Grove,457800,33.767662,-117.968762
38333,El Cajon,406700,32.809722,-116.895902
40227,Palmdale,220100,34.478743,-118.019087
17950,Elk Grove,329200,38.3826,-121.349339
54311,Santa Clarita,440600,34.406765,-118.456709
20008,Pomona,328100,34.065723,-117.769941
54626,Sunnyvale,1096300,37.397162,-122.02412
21114,Visalia,180900,36.362443,-119.314348
11337,Escondido,385300,33.134725,-117.069977
47019,Pasadena,659200,34.184471,-118.131808
54722,Torrance,690800,33.833639,-118.343172
24812,Fullerton,534400,33.888763,-117.924734
47570,Santa Maria,304300,34.951851,-120.296537
45888,Inglewood,374400,33.95331,-118.348271
33252,Orange,561800,33.809721,-117.818333
24174,Compton,272300,33.88535,-118.225117
17882,East Los Angeles,329700,34.035166,-118.159634
27110,Simi Valley,481900,34.29824,-118.734918
51518,Concord,447500,37.990504,-121.990558
34520,Vallejo,257800,38.125666,-122.253008
13713,Santa Clara,813100,37.370884,-121.968112
16992,Berkeley,850800,37.889993,-122.270136
11865,Hemet,190000,33.654923,-116.907085
4406,Downey,457800,33.937677,-118.130422
27683,Victorville,182000,34.530465,-117.372849
7386,Temecula,395400,33.535787,-117.129217
38032,Costa Mesa,648100,33.66356,-117.908966
41517,Vista,428200,33.203408,-117.217696
7453,Tracy,375000,37.651965,-121.455836
34543,Ventura,488000,34.227675,-119.294243
6103,Murrieta,361300,33.553213,-117.305217
37863,Chico,266000,39.797028,-121.840985
44655,Clovis,268000,36.936256,-119.563372
13594,Roseville,360700,38.781426,-121.332832
53636,Norwalk,375800,33.907785,-118.076991
47322,Redding,222300,40.64402,-122.311076
51861,El Monte,410000,34.070832,-118.03527
396054,Burbank,634100,34.183451,-118.325211
45732,Hesperia,191400,34.36317,-117.327836
14542,West Covina,453700,34.047044,-117.912699
3975,Carlsbad,694300,33.121805,-117.281504
41446,Vacaville,348600,38.380067,-121.966802
18053,Fairfield,329700,38.235677,-122.068441
32629,Madera,172300,36.982467,-120.067181
13699,San Mateo,892200,37.552322,-122.315011
25855,Merced,,37.330944,-120.504516
31163,Daly City,673600,37.678682,-122.452917
13256,Perris,225300,33.784323,-117.320018
13698,San Leandro,461500,37.70483,-122.149689
47762,South Gate,332900,33.937907,-118.193865
6112,Napa,485800,38.521355,-122.279484
12773,Mission Viejo,622800,33.604207,-117.657512
13715,Santa Cruz,709000,37.04497,-122.074987
16780,Antioch,310500,37.998129,-121.806377
33645,Rialto,267900,34.528828,-117.437588
45878,Indio,246000,33.725727,-116.248749
26964,Santa Monica,1106800,34.02186,-118.480566
32540,Livermore,624700,37.578306,-121.604191
51414,Citrus Heights,256300,38.693471,-121.287889
10608,Buena Park,457200,33.854117,-118.00679
26751,Richmond,296900,37.953325,-122.336446
42150,Hawthorne,464100,33.913399,-118.346038
44583,Chino,409400,33.986582,-117.671587
13712,Santa Barbara,979200,34.037451,-119.746453
