stype,sped,size,charter,sname,dname,name,flag,num11,api11,num12,api12,num13,api13,avg_nw,avg_w,irg5
E,,,D,FAME Public Charter,Alameda County Office of Educa,Alameda,,986,777,1020,769,918,781,776,775,
H,,,D,Envision Academy for Arts & Technology,Alameda County Office of Educa,Alameda,,200,643,221,605,226,669,639,639,
E,,,D,Aspire California College Preparatory Ac,Alameda County Office of Educa,Alameda,,158,825,265,790,265,792,802,799,
E,,S,D,Community School for Creative Education,Alameda County Office of Educa,Alameda,,,,23,726,47,660,,,
E,,S,D,Yu Ming Charter,Alameda County Office of Educa,Alameda,,,,,,51,944,,,
E,,S,D,Urban Montessori Charter,Alameda County Office of Educa,Alameda,,,,,,43,676,,,
H,A,S,,Alameda County Juvenile Hall/Court,Alameda County Office of Educa,Alameda,,,,15,396,13,362,,,
H,A,S,,Alameda County Community,Alameda County Office of Educa,Alameda,,26,523,28,526,39,493,514,511,
H,A,S,,Alameda County Opportunity,Alameda County Office of Educa,Alameda,,20,431,16,565,12,623,540,524,
E,,,D,Cox Academy,Alameda County Office of Educa,Alameda,,300,783,337,754,368,743,760,759,
E,,,D,Lazear Charter Academy,Alameda County Office of Educa,Alameda,,164,714,143,761,215,748,741,741,
H,E,S,,California School for the Blind,California School for the Blin,Alameda,,31,445,31,517,31,493,485,485,
H,E,,,California School for the Deaf-Fremont,California School for the Deaf,Alameda,,307,461,273,527,297,560,516,515,
H,,,,Alameda Science and Technology Institute,Alameda Unified,Alameda,,134,895,131,896,118,925,905,905,
E,,,,Ruby Bridges Elementary,Alameda Unified,Alameda,,368,811,349,835,385,808,818,818,
E,,,D,Nea Community Learning Center,Alameda Unified,Alameda,,274,821,370,837,391,838,832,833,
M,,,D,Academy of Alameda,Alameda Unified,Alameda,,510,770,442,774,480,808,784,784,
E,,,,Maya Lin,Alameda Unified,Alameda,,,,,,190,793,,,
H,,,,Alameda High,Alameda Unified,Alameda,,1297,825,1274,829,1184,819,824,824,
H,,,D,Alameda Community Learning Center,Alameda Unified,Alameda,,227,825,252,824,268,869,839,840,C
H,,S,D,Bay Area School of Enterprise,Alameda Unified,Alameda,,56,602,84,537,89,543,561,555,
H,,,,Encinal High,Alameda Unified,Alameda,,679,751,691,760,698,797,769,770,
H,A,S,,Island High (Continuation),Alameda Unified,Alameda,,39,615,40,496,35,576,562,561,
E,,,,Donald D. Lum Elementary,Alameda Unified,Alameda,,325,896,299,893,316,876,888,888,
E,,,,Edison Elementary,Alameda Unified,Alameda,,262,943,295,942,318,948,944,944,
E,,,,Frank Otis Elementary,Alameda Unified,Alameda,,299,896,324,907,333,913,905,906,
E,,,,Franklin Elementary,Alameda Unified,Alameda,,201,913,207,916,205,902,910,910,
E,,,,Henry Haight Elementary,Alameda Unified,Alameda,,256,822,246,832,248,854,836,836,
M,,,,Lincoln Middle,Alameda Unified,Alameda,,897,908,938,912,960,904,908,908,
E,,,,Washington Elementary,Alameda City Unified,Alameda,,178,778,179,722,,,,,
M,,,,Will C. Wood Middle,Alameda Unified,Alameda,,513,749,539,762,497,786,766,765,
E,,,,William G. Paden Elementary,Alameda Unified,Alameda,,241,829,224,851,200,851,844,843,A
