state,county,childtype,text,code,id,latitude,longitude,subregiontype,count,id2,name,url,latitude3,longitude4,zindex,currency
ca,Alameda,neighborhood,Request successfully processed,0,1510,37.68025,-121.899647,neighborhood,182,113538,Ashland,http://www.zillow.com/local-info/CA-San-Lorenzo/Ashland/r_113538/,37.696681,-122.113374,,
ca,Alameda,neighborhood,Request successfully processed,0,1510,37.68025,-121.899647,neighborhood,182,273935,Harder-Tennyson,http://www.zillow.com/local-info/CA-Hayward/Harder--Tennyson/r_273935/,37.64043,-122.078634,417100,USD
ca,Alameda,neighborhood,Request successfully processed,0,1510,37.68025,-121.899647,neighborhood,182,268001,Ardenwood,http://www.zillow.com/local-info/CA-Fremont/Ardenwood/r_268001/,37.562216,-122.054911,740900,USD
ca,Alameda,neighborhood,Request successfully processed,0,1510,37.68025,-121.899647,neighborhood,182,273179,Centerville,http://www.zillow.com/local-info/CA-Fremont/Centerville/r_273179/,37.553121,-122.003252,538400,USD
ca,Alameda,neighborhood,Request successfully processed,0,1510,37.68025,-121.899647,neighborhood,182,273485,Downtown,http://www.zillow.com/local-info/CA-Fremont/Downtown/r_273485/,37.548495,-121.971441,541300,USD
ca,Alameda,neighborhood,Request successfully processed,0,1510,37.68025,-121.899647,neighborhood,182,114283,Cherryland,http://www.zillow.com/local-info/CA-Hayward/Cherryland/r_114283/,37.677448,-122.105539,415800,USD
ca,Alameda,neighborhood,Request successfully processed,0,1510,37.68025,-121.899647,neighborhood,182,273828,Glen Eden,http://www.zillow.com/local-info/CA-Hayward/Glen-Eden/r_273828/,37.626536,-122.092381,438600,USD
ca,Alameda,neighborhood,Request successfully processed,0,1510,37.68025,-121.899647,neighborhood,182,275683,Tennyson-Alquire,http://www.zillow.com/local-info/CA-Hayward/Tennyson--Alquire/r_275683/,37.626637,-122.068219,447900,USD
ca,Alameda,neighborhood,Request successfully processed,0,1510,37.68025,-121.899647,neighborhood,182,268178,Glenmoor,http://www.zillow.com/local-info/CA-Fremont/Glenmoor/r_268178/,37.543149,-122.002995,746200,USD
ca,Alameda,neighborhood,Request successfully processed,0,1510,37.68025,-121.899647,neighborhood,182,268037,Cabrillo,http://www.zillow.com/local-info/CA-Fremont/Cabrillo/r_268037/,37.55859,-122.025376,623200,USD
ca,Alameda,neighborhood,Request successfully processed,0,1510,37.68025,-121.899647,neighborhood,182,268350,Northgate,http://www.zillow.com/local-info/CA-Fremont/Northgate/r_268350/,37.575635,-122.038482,714800,USD
ca,Alameda,neighborhood,Request successfully processed,0,1510,37.68025,-121.899647,neighborhood,182,115022,Fairview,http://www.zillow.com/local-info/CA-Hayward/Fairview/r_115022/,37.67588,-122.047971,534300,USD
ca,Alameda,neighborhood,Request successfully processed,0,1510,37.68025,-121.899647,neighborhood,182,268507,Sundale,http://www.zillow.com/local-info/CA-Fremont/Sundale/r_268507/,37.538555,-121.98603,647700,USD
ca,Alameda,neighborhood,Request successfully processed,0,1510,37.68025,-121.899647,neighborhood,182,274119,Jackson Triangle,http://www.zillow.com/local-info/CA-Hayward/Jackson-Triangle/r_274119/,37.656769,-122.08078,409200,USD
ca,Alameda,neighborhood,Request successfully processed,0,1510,37.68025,-121.899647,neighborhood,182,276637,Warm Springs,http://www.zillow.com/local-info/CA-Fremont/Warm-Springs/r_276637/,37.47829,-121.916727,932800,USD
ca,Alameda,neighborhood,Request successfully processed,0,1510,37.68025,-121.899647,neighborhood,182,268222,Irvington,http://www.zillow.com/local-info/CA-Fremont/Irvington/r_268222/,37.53297,-121.96002,720800,USD
ca,Alameda,neighborhood,Request successfully processed,0,1510,37.68025,-121.899647,neighborhood,182,268200,Grimmer,http://www.zillow.com/local-info/CA-Fremont/Grimmer/r_268200/,37.51773,-121.956039,666800,USD
ca,Alameda,neighborhood,Request successfully processed,0,1510,37.68025,-121.899647,neighborhood,182,268429,Redwood Heights,http://www.zillow.com/local-info/CA-Oakland/Redwood-Heights/r_268429/,37.795343,-122.189473,588200,USD
ca,Alameda,neighborhood,Request successfully processed,0,1510,37.68025,-121.899647,neighborhood,182,273690,Fairway Park,http://www.zillow.com/local-info/CA-Hayward/Fairway-Park/r_273690/,37.619256,-122.037769,474400,USD
ca,Alameda,neighborhood,Request successfully processed,0,1510,37.68025,-121.899647,neighborhood,182,275302,Santa Clara,http://www.zillow.com/local-info/CA-Hayward/Santa-Clara/r_275302/,37.658545,-122.098207,440300,USD
ca,Alameda,neighborhood,Request successfully processed,0,1510,37.68025,-121.899647,neighborhood,182,273303,Coliseum Industrial,http://www.zillow.com/local-info/CA-Oakland/Coliseum-Industrial/r_273303/,37.753882,-122.197519,,
ca,Alameda,neighborhood,Request successfully processed,0,1510,37.68025,-121.899647,neighborhood,182,268336,Niles,http://www.zillow.com/local-info/CA-Fremont/Niles/r_268336/,37.586232,-121.982112,758300,USD
ca,Alameda,neighborhood,Request successfully processed,0,1510,37.68025,-121.899647,neighborhood,182,274559,Mission-Foothill,http://www.zillow.com/local-info/CA-Hayward/Mission--Foothill/r_274559/,37.661849,-122.070201,417200,USD
ca,Alameda,neighborhood,Request successfully processed,0,1510,37.68025,-121.899647,neighborhood,182,276457,Mission-Garin,http://www.zillow.com/local-info/CA-Hayward/Mission--Garin/r_276457/,37.638452,-122.050435,452100,USD
ca,Alameda,neighborhood,Request successfully processed,0,1510,37.68025,-121.899647,neighborhood,182,267990,Adams Point,http://www.zillow.com/local-info/CA-Oakland/Adams-Point/r_267990/,37.812835,-122.253733,,
ca,Alameda,neighborhood,Request successfully processed,0,1510,37.68025,-121.899647,neighborhood,182,272852,Havenscourt,http://www.zillow.com/local-info/CA-Oakland/Havenscourt/r_272852/,37.766658,-122.184058,255300,USD
ca,Alameda,neighborhood,Request successfully processed,0,1510,37.68025,-121.899647,neighborhood,182,268034,Brookvale,http://www.zillow.com/local-info/CA-Fremont/Brookvale/r_268034/,37.57189,-122.010515,789000,USD
ca,Alameda,neighborhood,Request successfully processed,0,1510,37.68025,-121.899647,neighborhood,182,268078,Cleveland Heights,http://www.zillow.com/local-info/CA-Oakland/Cleveland-Heights/r_268078/,37.804507,-122.244092,665300,USD
ca,Alameda,neighborhood,Request successfully processed,0,1510,37.68025,-121.899647,neighborhood,182,268494,South Sundale,http://www.zillow.com/local-info/CA-Fremont/South-Sundale/r_268494/,37.531499,-121.97443,614400,USD
ca,Alameda,neighborhood,Request successfully processed,0,1510,37.68025,-121.899647,neighborhood,182,273287,Clinton,http://www.zillow.com/local-info/CA-Oakland/Clinton/r_273287/,37.795019,-122.245469,398700,USD
ca,Alameda,neighborhood,Request successfully processed,0,1510,37.68025,-121.899647,neighborhood,182,268026,Blacow,http://www.zillow.com/local-info/CA-Fremont/Blacow/r_268026/,37.517933,-121.975339,690800,USD
ca,Alameda,neighborhood,Request successfully processed,0,1510,37.68025,-121.899647,neighborhood,182,268309,Mission San Jose,http://www.zillow.com/local-info/CA-Fremont/Mission-San-Jose/r_268309/,37.534858,-121.913154,1164600,USD
