Zip,Total Enrollment 11,Total Enrollment 12,Total Enrollment 13,private average
51246,,,2618.0,2618.0
90001,392.0,355.0,353.0,366.666666667
90002,261.0,274.0,280.0,271.666666667
90003,476.0,490.0,516.0,494.0
90004,1164.0,1140.0,1124.0,1142.66666667
90005,304.0,,303.0,303.5
90006,1871.0,1921.0,1902.0,1898.0
90007,746.0,746.0,716.0,736.0
90008,394.0,243.0,332.0,323.0
90010,47.0,51.0,40.0,46.0
90011,245.0,260.0,254.0,253.0
90012,808.0,692.0,725.0,741.666666667
90015,,,7.0,7.0
90016,106.0,110.0,109.0,108.333333333
90017,245.0,252.0,257.0,251.333333333
90018,483.0,483.0,466.0,477.333333333
90019,231.0,237.0,280.0,249.333333333
90020,717.0,825.0,857.0,799.666666667
90021,149.0,148.0,162.0,153.0
90022,208.0,171.0,108.0,162.333333333
90023,857.0,937.0,950.0,914.666666667
90024,1071.0,1057.0,1040.0,1056.0
90025,463.0,461.0,448.0,457.333333333
90026,386.0,370.0,303.0,353.0
90027,1223.0,1408.0,1183.0,1271.33333333
90028,1016.0,1069.0,1085.0,1056.66666667
90029,217.0,202.0,197.0,205.333333333
90031,598.0,484.0,530.0,537.333333333
90032,225.0,268.0,274.0,255.666666667
90033,868.0,929.0,943.0,913.333333333
90034,877.0,853.0,480.0,736.666666667
90035,1765.0,1918.0,1923.0,1868.66666667
90036,2145.0,2092.0,2521.0,2252.66666667
90037,516.0,476.0,445.0,479.0
90038,683.0,658.0,675.0,672.0
90039,456.0,469.0,447.0,457.333333333
90041,400.0,232.0,237.0,289.666666667
90042,295.0,433.0,393.0,373.666666667
90043,375.0,684.0,252.0,437.0
90044,859.0,889.0,927.0,891.666666667
90045,1301.0,1168.0,1150.0,1206.33333333
90046,440.0,471.0,457.0,456.0
90047,722.0,777.0,998.0,832.333333333
90048,835.0,850.0,856.0,847.0
90049,3635.0,3178.0,3920.0,3577.66666667
90056,,82.0,73.0,77.5
90057,194.0,169.0,209.0,190.666666667
90059,661.0,695.0,720.0,692.0
90061,7.0,,,7.0
90062,122.0,223.0,92.0,145.666666667
90063,489.0,438.0,503.0,476.666666667
90064,1294.0,1306.0,1951.0,1517.0
90065,283.0,626.0,313.0,407.333333333
90066,2118.0,1676.0,1462.0,1752.0
90068,15.0,,12.0,13.5
90069,180.0,239.0,219.0,212.666666667
90071,,,41.0,41.0
90077,1515.0,1471.0,1442.0,1476.0
90146,11.0,,,11.0
90201,268.0,207.0,369.0,281.333333333
90211,103.0,100.0,106.0,103.0
90212,553.0,574.0,589.0,572.0
