Zip,Total Enrollment 11,Total Enrollment 12,Total Enrollment 13,private average,zindex,avg_w,num11,num12,num13,num_avg,SCF,total students,percent public,expected api,API - expected,Population,,percent public rank,API-expected rank,,,,59.12553603,,,,,,,,,,,,,,
90001,392,355,353,366.6666667,267100,729.5833333,7585,7617,7125,7442.333333,900,7809,0.953045631,768.8715485,-39.28821517,57110,,651,309,,,,-58.87961522,,,,,,,,,,,,,,
90002,261,274,280,271.6666667,254500,659.0909091,4971,4470,4328,4589.666667,900,4861.333333,0.94411684,766.7730689,-107.6821598,51223,,608,57,,,,0.022745851,,,,,,,,,,,,,,
90003,476,490,516,494,279900,709.3333333,10267,9133,8949,9449.666667,900,9943.666667,0.950320137,771.0033373,-61.67000397,66266,,631,187,,pearson's correl,,0.150817275,,,,,,,,,,,,,,
90004,1164,1140,1124,1142.666667,1094300,809,4489,4507,4405,4467,900,5609.666667,0.796303999,906.6383997,-97.6383997,62180,,217,71,,spearman's correl,,0.15174524,,Slope,Intercept,R2,Pearson's,Spearman's,?,n,df,sr,t,?,t-crit,p-value
90005,304,,303,303.5,685100,731.3333333,5667,5840,5837,5781.333333,900,6084.833333,0.950121888,838.4877765,-107.1544432,37681,,630,58,,rho,,0,,59.12554,-58.8796,0.022746,0.150817,0.151745,0,1155,1153,0.029109,5.213008,0.05,1.962024,2.20E-07
90006,1871,1921,1902,1898,511800,766,3919,3749,3563,3743.666667,900,5641.666667,0.663574594,809.6253547,-43.6253547,59185,,104,278,,n,,1155,,,,,,,,,,,,,,
90007,746,746,716,736,491200,748.2631579,10121,9813,9641,9858.333333,900,10594.33333,0.930528899,806.1945071,-57.93134921,40920,,554,203,,df,,1153,,,,,,,,,,,,,,
90008,394,243,332,323,548600,671.8571429,2219,2158,2126,2167.666667,900,2490.666667,0.870315846,815.7542475,-143.8971046,32327,,356,20,,sr,,0.029108962,,,,,,,,,,,,,,
90010,47,51,40,46,741000,766,952,1068,1124,1048,900,1094,0.957952468,847.7976979,-81.7976979,3800,,681,116,,t,,5.213007673,,,,,,,,,,,,,,
90011,245,260,254,253,307400,729.3214286,15993,14365,13876,14744.66667,900,14997.66667,0.983130709,775.5833523,-46.26192373,103892,,818,261,,alpha,,0.05,,,,,,,,,,,,,,
90012,808,692,725,741.6666667,408700,828.8333333,2699,2829,2867,2798.333333,900,3540,0.790489642,792.4544621,36.37887123,31103,,206,880,,t-crit,,1.962023587,,,,,,,,,,,,,,
90015,,,7,7,571300,799,1943,1915,1945,1934.333333,900,1941.333333,0.996394231,819.5348417,-20.5348417,18986,,932,463,,p-value,,2.20043E-07,,,,,,,,,,,,,,
90016,106,110,109,108.3333333,431100,719.4,3634,3598,3444,3558.666667,900,3667,0.970457231,796.1850925,-76.7850925,47596,,744,134,,,,,,,,,,,,,,,,,,
90017,245,252,257,251.3333333,497200,662.8888889,4136,3882,3811,3943,900,4194.333333,0.940077883,807.1937831,-144.3048942,23768,,591,19,,,,,,,,,,,,,,,,,,
90018,483,483,466,477.3333333,427700,741.6666667,4998,4989,4922,4969.666667,900,5447,0.912367664,795.6188361,-53.95216943,49310,,474,223,,59.12553603,-58.87961522,,,,,,,,,,,,,,,
90019,231,237,280,249.3333333,807000,739.4285714,4709,4396,4156,4420.333333,900,4669.666667,0.946605753,858.7897339,-119.3611625,64458,,616,42,,11.41334929,10.22405783,,,,,,,,,,,,,,,
90022,208,171,108,162.3333333,336600,762.1538462,7790,7754,7896,7813.333333,900,7975.666667,0.979646425,780.4464955,-18.29264935,67179,,796,478,,0.022745851,58.0929143,,,,,,,,,,,,,,,
90023,857,937,950,914.6666667,316700,757.6923077,7834,7538,7285,7552.333333,900,8467,0.891972757,777.1322301,-19.43992241,45903,,415,468,,26.836382,1153,,,,,,,,,,,,,,,
90024,1071,1057,1040,1056,986200,886.3333333,1404,1384,1252,1346.666667,900,2402.666667,0.560488346,888.6347771,-2.301443767,47452,,70,597,,90567.06485,3891129.056,,,Slope,59.12554,,,,,,,,,,,
90025,463,461,448,457.3333333,751100,836.4,2708,2524,2698,2643.333333,900,3100.666667,0.852504838,849.4798125,-13.0798125,42147,,312,509,,,,,,Intercept,-58.8796,,,,,,,,,,,
90026,386,370,303,353,652100,710.2352941,6428,6116,6034,6192.666667,900,6545.666667,0.946071192,832.9917585,-122.7564644,67869,,614,35,,,,,,R2,0.022746,,,,,,,,,,,
90027,1223,1408,1183,1271.333333,1163200,803.5,2944,2541,2484,2656.333333,900,3927.666667,0.676313333,918.1134191,-114.6134191,45151,,116,44,,,,,,Pearson's,0.150817,,,,,,,,,,,
90028,1016,1069,1085,1056.666667,653200,706.5,4171,3884,3516,3857,900,4913.666667,0.784953531,833.1749591,-126.6749591,28714,,199,31,,,,,,Spearman's,0.151745,,,,,,,,,,,
90029,217,202,197,205.3333333,659100,789.75,2666,2662,2643,2657,900,2862.333333,0.928263654,834.1575805,-44.4075805,38617,,544,272,,,,,,?,0,,,,,,,,,,,
90031,598,484,530,537.3333333,404900,742,4866,4739,4303,4636,900,5173.333333,0.896134021,791.8215873,-49.8215873,39316,,427,243,,,,,,n,1155,,,,,,,,,,,
90032,225,268,274,255.6666667,376600,744.1538462,6279,5978,5761,6006,900,6261.666667,0.95916955,787.1083355,-42.95448935,45786,,687,283,,,,,,df,1153,,,,,,,,,,,
90033,868,929,943,913.3333333,340200,680.1111111,7663,7231,6690,7194.666667,900,8108,0.887354054,781.0460611,-100.93495,48852,,401,64,,,,,,sr,0.029109,,,,,,,,,,,
90034,877,853,480,736.6666667,847800,801.7777778,5551,5485,5328,5454.666667,900,6191.333333,0.881016475,865.5848107,-63.80703292,57964,,384,174,,,,,,t,5.213008,,,,,,,,,,,
90035,1765,1918,1923,1868.666667,1059500,868.3333333,1876,1890,1954,1906.666667,900,3775.333333,0.505032668,900.8425989,-32.50926557,28418,,47,369,,,,,,?,0.05,,,,,,,,,,,
90036,2145,2092,2521,2252.666667,1300000,765,598,633,595,608.6666667,900,2861.333333,0.212721342,940.8969119,-175.8969119,36865,,6,6,,,,,,t-crit,1.962024,,,,,,,,,,,
90037,516,476,445,479,348200,719.6666667,6385,5929,4694,5669.333333,900,6148.333333,0.922092708,782.3784291,-62.71176243,62276,,511,181,,,,,,p-value,2.20E-07,,,,,,,,,,,
90038,683,658,675,672,686200,754.75,2154,2056,1920,2043.333333,900,2715.333333,0.752516573,838.6709771,-83.9209771,28917,,162,111,,,,,,,,,,,,,,,,,,
90039,456,469,447,457.3333333,705900,844.2,1235,1224,1163,1207.333333,900,1664.666667,0.725270324,841.9519333,2.2480667,28514,,143,639,,,,,,,,,,,,,,,,,,
90040,,,,0,331600,765,1031,1033,1058,1040.666667,900,1040.666667,1,779.6137655,-14.6137655,12520,,1056,498,,,,,,,,,,,,,,,,,,
90041,400,232,237,289.6666667,652000,847.8888889,4798,4395,4467,4553.333333,900,4843,0.940188588,832.9751039,14.91378499,27425,,593,726,,,,,,,,,,,,,,,,,,
90042,295,433,393,373.6666667,513700,755.5384615,5682,5216,5018,5305.333333,900,5679,0.934202031,809.9417921,-54.40333056,62430,,565,220,,,,,,,,,,,,,,,,,,
90043,375,684,252,437,410600,718.5714286,4667,4760,4755,4727.333333,900,5164.333333,0.91538114,792.7708995,-74.19947093,44789,,482,141,,,,,,,,,,,,,,,,,,
90044,859,889,927,891.6666667,300400,701.5384615,7317,7176,6678,7057,900,7948.666667,0.887821857,774.4175303,-72.87906876,89779,,404,146,,,,,,,,,,,,,,,,,,
90045,1301,1168,1150,1206.333333,815900,825.3333333,3385,3355,3217,3319,900,4525.333333,0.733426635,860.2719933,-34.93865997,39480,,150,344,,,,,,,,,,,,,,,,,,
90046,440,471,457,456,1121600,836.875,3225,3447,3609,3427,900,3883,0.882565027,911.1851055,-74.3101055,48581,,388,140,,,,,,,,,,,,,,,,,,
90047,722,777,998,832.3333333,328200,680.6363636,4073,3952,3762,3929,900,4761.333333,0.825189023,779.0475091,-98.41114546,48606,,266,69,,,,,,,,,,,,,,,,,,
90048,835,850,856,847,1203500,811,508,472,377,452.3333333,900,1299.333333,0.348127245,924.8252229,-113.8252229,21397,,14,45,,,,,,,,,,,,,,,,,,
90049,3635,3178,3920,3577.666667,2300200,911.25,3721,3727,3678,3708.666667,900,7286.333333,0.508989432,1000,-88.75,35482,,49,96,,,,,,,,,,,,,,,,,,
90056,,82,73,77.5,906900,614,180,214,151,181.6666667,900,259.1666667,0.70096463,875.4276793,-261.4276793,7827,,131,1,,,,,,,,,,,,,,,,,,
90059,661,695,720,692,261500,725.0769231,4379,4610,4616,4535,900,5227,0.867610484,767.9388909,-42.86196782,40952,,350,284,,,,,,,,,,,,,,,,,,
90061,7,,,7,289900,700.4,3891,3866,3567,3774.666667,900,3781.666667,0.998148964,772.6687973,-72.2687973,26872,,947,147,,,,,,,,,,,,,,,,,,
90062,122,223,92,145.6666667,371700,718,2095,1937,1793,1941.666667,900,2087.333333,0.930213989,786.2922601,-68.2922601,32821,,551,160,,,,,,,,,,,,,,,,,,
90063,489,438,503,476.6666667,318500,675.4375,7327,7250,7064,7213.666667,900,7690.333333,0.938017424,777.4320129,-101.9945129,55758,,583,62,,,,,,,,,,,,,,,,,,
90064,1294,1306,1951,1517,1083800,804.75,1193,1250,1191,1211.333333,900,2728.333333,0.443982896,904.8896667,-100.1396667,25403,,24,66,,,,,,,,,,,,,,,,,,
90065,283,626,313,407.3333333,599100,804.75,4600,4530,4386,4505.333333,900,4912.666667,0.917085086,824.1648205,-19.4148205,45527,,488,469,,,,,,,,,,,,,,,,,,
90066,2118,1676,1462,1752,986400,793.9230769,5186,4998,4893,5025.666667,900,6777.666667,0.741503959,888.6680863,-94.74500938,55277,,153,82,,,,,,,,,,,,,,,,,,
90068,15,,12,13.5,1164000,834,138,139,142,139.6666667,900,153.1666667,0.911860718,918.2466559,-84.2466559,22286,,472,108,,,,,,,,,,,,,,,,,,
90069,180,239,219,212.6666667,737800,922,168,197,233,199.3333333,900,412,0.48381877,847.2647507,74.7352493,20483,,38,1065,,,,,,,,,,,,,,,,,,
90077,1515,1471,1442,1476,2477400,963,272,273,292,279,900,1755,0.158974359,1000,-37,9377,,3,332,,,,,,,,,,,,,,,,,,
90201,268,207,369,281.3333333,337700,726.7368421,17117,16724,16572,16804.33333,902,17085.66667,0.983533956,780.6296961,-53.892854,101279,,823,226,,,,,,,,,,,,,,,,,,
90210,,,,0,4140800,916,1063,1016,1007,1028.666667,902,1028.666667,1,1000,-84,21741,,1056,110,,,,,,,,,,,,,,,,,,
90211,103,100,106,103,1635800,909,462,469,441,457.3333333,902,560.3333333,0.816180845,996.8230587,-87.8230587,8434,,251,100,,,,,,,,,,,,,,,,,,
90212,553,574,589,572,1859400,891.5,1971,1970,1831,1924,902,2496,0.770833333,1000,-108.5,11555,,187,53,,,,,,,,,,,,,,,,,,
90220,461,326,366,384.3333333,269200,743.5,5810,5797,5716,5774.333333,902,6158.666667,0.937594717,769.2212951,-25.7212951,49328,,581,427,,,,,,,,,,,,,,,,,,
90221,460,588,430,492.6666667,287900,725.6,6201,6517,6660,6459.333333,902,6952,0.929133103,772.3357053,-46.7357053,53704,,546,258,,,,,,,,,,,,,,,,,,
90222,46,19,22,29,257100,725.5,2837,2729,2680,2748.666667,902,2777.666667,0.989559582,767.2060885,-41.7060885,31869,,866,290,,,,,,,,,,,,,,,,,,
90230,288,220,236,248,639800,827.3333333,5028,4956,4840,4941.333333,902,5189.333333,0.952209661,830.9432427,-3.609909367,31766,,643,586,,,,,,,,,,,,,,,,,,
90232,1332,1086,1378,1265.333333,913100,850.5,629,686,701,672,902,1937.333333,0.346868548,876.4602645,-25.9602645,15149,,12,424,,,,,,,,,,,,,,,,,,
90240,94,80,,87,485500,841,2843,2739,2744,2775.333333,902,2862.333333,0.969605217,805.2451949,35.7548051,25876,,732,875,,,,,,,,,,,,,,,,,,
90241,669,860,886,805,488300,769.8571429,8726,8669,8794,8729.666667,902,9534.666667,0.915571249,805.7115237,-35.85438084,42399,,484,337,,,,,,,,,,,,,,,,,,
90242,1385,1366,1227,1326,414700,792.5,5636,5542,5475,5551,902,6877,0.807183365,793.4537381,-0.9537381,43497,,233,609,,,,,,,,,,,,,,,,,,
90245,390,218,472,360,846600,899,2392,2427,2522,2447,902,2807,0.871749198,865.3849555,33.6150445,16654,,361,862,,,,,,,,,,,,,,,,,,
90247,445,255,197,299,390100,775.1428571,3959,3970,3942,3957,902,4256,0.929746241,789.3567065,-14.21384936,47487,,550,503,,,,,,,,,,,,,,,,,,
