Zip,zindex,aa_avg_w,aa_num11,aa_num12,aa_num13,aa_num_avg
95138,927000.0,946.0,13.0,16.0,16.0,15.0
94519,414900.0,943.0,15.0,11.0,12.0,12.6666666667
94502,733400.0,926.0,21.0,21.0,21.0,21.0
93619,373500.0,925.5,42.0,27.0,31.0,33.3333333333
90278,781000.0,898.0,97.0,86.0,86.0,89.6666666667
90069,737800.0,892.0,24.0,22.0,25.0,23.6666666667
91326,676100.0,884.333333333,92.0,75.0,74.0,80.3333333333
94526,990400.0,882.0,22.0,25.0,19.0,22.0
91307,572700.0,881.5,76.0,52.0,59.0,62.3333333333
91607,702200.0,877.0,56.0,49.0,55.0,53.3333333333
92808,648200.0,875.0,16.0,22.0,26.0,21.3333333333
92078,502000.0,873.25,133.0,133.0,136.0,134.0
92069,435800.0,873.2,178.0,162.0,164.0,168.0
90720,797000.0,872.0,189.0,174.0,183.0,182.0
91784,586900.0,871.333333333,91.0,93.0,87.0,90.3333333333
91316,534800.0,870.333333333,77.0,68.0,72.0,72.3333333333
92606,691400.0,870.0,18.0,17.0,12.0,15.6666666667
92694,732200.0,869.0,16.0,18.0,18.0,17.3333333333
92688,573500.0,868.333333333,56.0,53.0,54.0,54.3333333333
91345,419000.0,868.0,16.0,19.0,13.0,16.0
91914,609900.0,867.25,164.0,147.0,145.0,152.0
92701,372000.0,865.0,25.0,28.0,20.0,24.3333333333
90732,552500.0,864.666666667,110.0,93.0,92.0,98.3333333333
90230,639800.0,862.857142857,937.0,890.0,843.0,890.0
93720,278300.0,862.625,232.0,230.0,234.0,232.0
93730,377600.0,862.0,81.0,92.0,88.0,87.0
90039,705900.0,861.0,14.0,11.0,13.0,12.6666666667
92705,792900.0,860.0,24.0,31.0,27.0,27.3333333333
90245,846600.0,858.333333333,75.0,85.0,103.0,87.6666666667
91354,496900.0,858.0,124.0,118.0,115.0,119.0
91708,423500.0,858.0,36.0,38.0,41.0,38.3333333333
92883,423200.0,858.0,133.0,140.0,144.0,139.0
95762,532600.0,858.0,54.0,55.0,50.0,53.0
91739,547600.0,857.111111111,975.0,971.0,988.0,978.0
94517,678500.0,857.0,11.0,14.0,16.0,13.6666666667
90605,408100.0,857.0,22.0,20.0,22.0,21.3333333333
91024,828200.0,856.0,54.0,46.0,47.0,49.0
92831,534000.0,855.5,37.0,50.0,49.0,45.3333333333
90041,652000.0,854.666666667,82.0,71.0,68.0,73.6666666667
92567,262800.0,854.0,22.0,20.0,21.0,21.0
92886,678300.0,853.0,33.0,32.0,29.0,31.3333333333
91350,456400.0,852.333333333,69.0,79.0,76.0,74.6666666667
90630,539800.0,852.2,214.0,206.0,173.0,197.666666667
95117,845300.0,852.0,18.0,23.0,20.0,20.3333333333
94552,823300.0,852.0,128.0,153.0,149.0,143.333333333
91709,584100.0,851.3,457.0,431.0,392.0,426.666666667
92236,174100.0,851.0,53.0,57.0,65.0,58.3333333333
92672,765100.0,850.0,35.0,28.0,23.0,28.6666666667
90232,913100.0,849.5,45.0,52.0,61.0,52.6666666667
91301,753500.0,848.5,37.0,31.0,41.0,36.3333333333
92887,773900.0,848.0,12.0,11.0,13.0,12.0
92103,611200.0,848.0,161.0,141.0,174.0,158.666666667
95742,343900.0,848.0,27.0,29.0,24.0,26.6666666667
90505,812100.0,847.5,50.0,56.0,58.0,54.6666666667
91206,657400.0,847.0,37.0,36.0,36.0,36.3333333333
91324,508200.0,846.5,208.0,191.0,199.0,199.333333333
91320,614200.0,846.0,72.0,69.0,59.0,66.6666666667
91501,650500.0,846.0,14.0,16.0,20.0,16.6666666667
95630,424600.0,845.4,114.0,132.0,125.0,123.666666667
92064,606400.0,844.0,120.0,125.0,118.0,121.0
92595,327000.0,842.8,198.0,208.0,176.0,194.0
95405,445700.0,842.333333333,51.0,48.0,41.0,46.6666666667
90293,541700.0,842.0,165.0,138.0,140.0,147.666666667
92009,736500.0,841.5,46.0,43.0,38.0,42.3333333333
92130,896100.0,841.5,51.0,45.0,45.0,47.0
92869,614000.0,841.0,40.0,38.0,39.0,39.0
92692,634400.0,841.0,17.0,15.0,18.0,16.6666666667
95407,387700.0,840.5,40.0,38.0,33.0,37.0
93066,967300.0,840.0,15.0,20.0,20.0,18.3333333333
92646,682100.0,840.0,23.0,21.0,13.0,19.0
