Zip,zindex,aa_avg_w,aa_num11,aa_num12,aa_num13,aa_num_avg,,zindex rank,avg_w rank,,,,
90001,267100,639.5,461,466,574,500.3333333,,155,35,,,,
90002,254500,604.8,1055,902,837,931.3333333,,137,14,,pearson's correl,,0.205933308
90003,279900,666.8571429,1578,1477,1463,1506,,171,73,,spearman's correl,,0.340154109
90004,1094300,792.2,156,147,147,150,,740,545,,rho,,0
90005,685100,699.8,319,288,278,295,,612,156,,n,,796
90006,511800,721.5,37,31,24,30.66666667,,468,237,,df,,794
90007,491200,712.9230769,1215,1011,954,1060,,452,208,,sr,,0.033372472
90008,548600,673.4285714,1273,1219,1200,1230.666667,,502,84,,t,,10.19265545
90010,741000,784,14,14,20,16,,648,510,,alpha,,0.05
90011,307400,653.6470588,817,667,623,702.3333333,,204,47,,t-crit,,1.962956214
90012,408700,698,179,160,150,163,,332,149,,p-value,,5.19104E-23
90016,431100,729.6666667,1428,1344,1171,1314.333333,,373,269,,,,
90017,497200,579.3333333,63,53,51,55.66666667,,457,5,,,,
90018,427700,717.5454545,1499,1472,1474,1481.666667,,367,222,,,,
90019,807000,680.5,582,569,524,558.3333333,,681,99,,,,
90024,986200,705,124,136,106,122,,723,182,,,,
90025,751100,795.75,368,359,395,374,,652,562,,,,
90026,652100,657,38,24,30,30.66666667,,579,52,,,,
90027,1163200,727,48,43,36,42.33333333,,746,255,,,,
90028,653200,737.25,183,185,170,179.3333333,,581.5,307,,,,
90029,659100,759,18,20,22,20,,587,402.5,,,,
90032,376600,713.6666667,54,89,92,78.33333333,,281,214,,,,
90033,340200,829,25,31,26,27.33333333,,242,675.5,,,,
90034,847800,805,1228,1190,1152,1190,,694,603,,,,
90035,1059500,839,367,346,382,365,,737,710,,,,
90036,1300000,802,97,82,87,88.66666667,,765,591,,,,
90037,348200,669.5,1170,1056,812,1012.666667,,250,80,,,,
90038,686200,738,53,53,45,50.33333333,,613,308,,,,
90039,705900,861,14,11,13,12.66666667,,625,762,,,,
90041,652000,854.6666667,82,71,68,73.66666667,,578,749,,,,
90042,513700,643.5,43,25,32,33.33333333,,471,38.5,,,,
90043,410600,706.0714286,2888,2722,2731,2780.333333,,335,189,,,,
90044,300400,657.1538462,1764,1743,1654,1720.333333,,191,53,,,,
90045,815900,787.625,1888,1794,1687,1789.666667,,683,527,,,,
90046,1121600,822.8333333,390,371,383,381.3333333,,742,661,,,,
90047,328200,654.6,2160,2067,1832,2019.666667,,232,49,,,,
90048,1203500,782.5,183,169,134,162,,753,500,,,,
90049,2300200,849,589,592,581,587.3333333,,790,737,,,,
90056,906900,616,135,203,146,161.3333333,,705,20,,,,
90059,261500,682.8461538,1514,1634,1509,1552.333333,,148,105,,,,
