Zip,zindex,ai_avg_w,ai_num11,ai_num12,ai_num13,ai_num_avg
90007,491200.0,800.0,14.0,12.0,13.0,13.0
90201,337700.0,730.0,13.0,25.0,22.0,20.0
90241,488300.0,796.0,16.0,18.0,11.0,15.0
90505,812100.0,824.0,17.0,15.0,11.0,14.3333333333
90731,496200.0,735.0,13.0,15.0,12.0,13.3333333333
91335,422400.0,892.0,11.0,12.0,13.0,12.0
91360,602000.0,830.0,13.0,16.0,13.0,14.0
91367,625800.0,817.0,35.0,55.0,56.0,48.6666666667
91423,821000.0,864.0,18.0,14.0,21.0,17.6666666667
91786,402400.0,738.0,13.0,11.0,11.0,11.6666666667
91901,487200.0,741.0,46.0,34.0,35.0,38.3333333333
91910,400100.0,869.0,17.0,24.0,17.0,19.3333333333
92008,718500.0,809.0,14.0,14.0,17.0,15.0
92019,435900.0,709.0,40.0,31.0,15.0,28.6666666667
92025,434900.0,784.0,14.0,11.0,11.0,12.0
92036,293500.0,727.0,64.0,57.0,52.0,57.6666666667
92040,408900.0,699.5,110.0,106.0,70.0,95.3333333333
92061,480700.0,712.0,37.0,30.0,37.0,34.6666666667
92065,433000.0,704.0,14.0,19.0,15.0,16.0
92082,503200.0,744.166666667,274.0,282.0,272.0,276.0
92220,186500.0,719.75,106.0,108.0,90.0,101.333333333
92223,259100.0,714.0,35.0,33.0,36.0,34.6666666667
92260,321800.0,818.0,13.0,15.0,14.0,14.0
92262,312700.0,760.0,16.0,16.0,16.0,16.0
92311,93000.0,756.0,47.0,41.0,32.0,40.0
92374,291200.0,815.0,17.0,13.0,13.0,14.3333333333
92399,303100.0,765.0,15.0,19.0,19.0,17.6666666667
92407,234600.0,727.0,18.0,13.0,14.0,15.0
92539,179800.0,739.0,19.0,24.0,27.0,23.3333333333
92544,192300.0,744.333333333,65.0,45.0,53.0,54.3333333333
92583,184500.0,746.0,89.0,95.0,102.0,95.3333333333
92590,855000.0,704.0,19.0,22.0,28.0,23.0
92591,377800.0,814.0,12.0,14.0,20.0,15.3333333333
92592,401200.0,797.666666667,82.0,105.0,104.0,97.0
92595,327000.0,751.0,15.0,12.0,12.0,13.0
92629,776700.0,851.0,14.0,15.0,13.0,14.0
92646,682100.0,857.0,188.0,183.0,170.0,180.333333333
92647,611300.0,801.0,51.0,56.0,51.0,52.6666666667
92648,797500.0,838.0,171.0,161.0,142.0,158.0
92649,679100.0,827.0,129.0,154.0,163.0,148.666666667
92683,528200.0,739.0,42.0,26.0,48.0,38.6666666667
92708,666300.0,853.0,120.0,108.0,86.0,104.666666667
93001,494700.0,762.0,11.0,12.0,11.0,11.3333333333
93003,493400.0,827.0,12.0,13.0,12.0,12.3333333333
93065,485800.0,645.0,37.0,37.0,49.0,41.0
93240,127900.0,627.0,24.0,17.0,12.0,17.6666666667
93245,182200.0,668.5,203.0,201.0,205.0,203.0
93257,143500.0,712.5,193.0,189.0,179.0,187.0
93274,147600.0,764.0,15.0,15.0,19.0,16.3333333333
93277,174600.0,792.333333333,129.0,125.0,110.0,121.333333333
93291,192700.0,848.0,46.0,37.0,40.0,41.0
93292,179400.0,803.0,37.0,35.0,35.0,35.6666666667
93301,162500.0,754.5,32.0,32.0,31.0,31.6666666667
93306,159100.0,764.0,29.0,28.0,24.0,27.0
93308,173800.0,763.0,57.0,58.0,35.0,50.0
93309,172800.0,767.0,16.0,11.0,12.0,13.0
93422,425200.0,800.0,27.0,20.0,13.0,20.0
93436,254400.0,813.0,15.0,15.0,12.0,14.0
93460,755800.0,843.0,19.0,13.0,12.0,14.6666666667
93513,181000.0,686.0,41.0,45.0,55.0,47.0
93514,335000.0,701.0,187.0,196.0,172.0,185.0
93536,259400.0,774.0,21.0,18.0,15.0,18.0
93551,302900.0,792.0,15.0,11.0,14.0,13.3333333333
93611,259400.0,778.0,56.0,48.0,42.0,48.6666666667
93612,166800.0,825.0,17.0,18.0,18.0,17.6666666667
93614,225900.0,706.0,12.0,20.0,22.0,18.0
93643,227800.0,706.0,16.0,13.0,24.0,17.6666666667
93644,211100.0,722.0,19.0,24.0,24.0,22.3333333333
93667,238900.0,722.0,54.0,53.0,53.0,53.3333333333
93703,120400.0,665.0,14.0,12.0,13.0,13.0
