Zip,zindex,as_avg_w,as_num11,as_num12,as_num13,as_num_avg
90732,552500.0,1000.0,41.0,43.0,53.0,45.6666666667
92251,188600.0,997.0,18.0,12.0,12.0,14.0
91345,419000.0,993.0,25.0,32.0,41.0,32.6666666667
95650,473700.0,991.0,15.0,21.0,22.0,19.3333333333
91377,692300.0,986.4,401.0,441.0,518.0,453.333333333
92011,767800.0,986.0,91.0,108.0,113.0,104.0
94582,944400.0,985.5,3267.0,3791.0,4176.0,3744.66666667
95135,922500.0,984.666666667,1521.0,1618.0,1694.0,1611.0
92866,532300.0,984.0,34.0,24.0,14.0,24.0
92694,732200.0,983.25,228.0,244.0,252.0,241.333333333
92236,174100.0,983.0,27.0,26.0,27.0,26.6666666667
92603,990900.0,982.25,882.0,938.0,902.0,907.333333333
92130,896100.0,982.166666667,2197.0,2296.0,2367.0,2286.66666667
95130,980700.0,980.25,426.0,446.0,478.0,450.0
90720,797000.0,979.5,765.0,768.0,806.0,779.666666667
90403,958100.0,979.0,191.0,197.0,192.0,193.333333333
94555,722200.0,978.666666667,1209.0,1287.0,1395.0,1297.0
95366,339300.0,975.0,12.0,13.0,18.0,14.3333333333
91784,586900.0,974.666666667,158.0,147.0,133.0,146.0
94552,823300.0,974.666666667,626.0,626.0,594.0,615.333333333
94708,997000.0,974.0,73.0,65.0,54.0,64.0
93035,487600.0,974.0,22.0,23.0,21.0,22.0
92782,642300.0,973.25,820.0,805.0,715.0,780.0
92620,768300.0,972.25,2476.0,2751.0,3048.0,2758.33333333
94566,919800.0,971.875,1722.0,1880.0,1866.0,1822.66666667
91362,719600.0,971.0,524.0,502.0,504.0,510.0
94588,789400.0,970.5,1529.0,1646.0,1681.0,1618.66666667
92602,790000.0,969.75,1259.0,1349.0,1560.0,1389.33333333
93111,832700.0,969.0,58.0,59.0,53.0,56.6666666667
91504,646700.0,968.5,151.0,157.0,156.0,154.666666667
92211,325000.0,968.0,13.0,15.0,15.0,14.3333333333
90744,372200.0,968.0,21.0,21.0,20.0,20.6666666667
91204,424600.0,968.0,12.0,19.0,19.0,16.6666666667
92009,736500.0,967.8,465.0,445.0,427.0,445.666666667
92886,678300.0,967.555555556,681.0,734.0,720.0,711.666666667
92604,682000.0,967.125,2165.0,2242.0,2348.0,2251.66666667
92029,630500.0,967.0,27.0,26.0,21.0,24.6666666667
94607,409500.0,967.0,514.0,626.0,867.0,669.0
92127,683300.0,966.75,1300.0,1402.0,1540.0,1414.0
95138,927000.0,966.5,402.0,408.0,422.0,410.666666667
90039,705900.0,966.0,28.0,41.0,45.0,38.0
91316,534800.0,966.0,24.0,33.0,36.0,31.0
91602,680600.0,966.0,133.0,150.0,192.0,158.333333333
95124,896300.0,965.7,746.0,809.0,887.0,814.0
92131,671500.0,965.333333333,1004.0,1056.0,1106.0,1055.33333333
90603,480800.0,965.0,13.0,16.0,19.0,16.0
92606,691400.0,965.0,616.0,636.0,641.0,631.0
92371,214900.0,964.5,46.0,53.0,42.0,47.0
91326,676100.0,964.333333333,182.0,315.0,246.0,247.666666667
94583,778700.0,964.111111111,1213.0,1316.0,1412.0,1313.66666667
91030,851900.0,963.8,1251.0,1242.0,1207.0,1233.33333333
91740,447100.0,963.5,53.0,59.0,65.0,59.0
92688,573500.0,963.1,515.0,519.0,512.0,515.333333333
92835,663700.0,962.75,517.0,535.0,546.0,532.666666667
92612,659300.0,962.666666667,1347.0,1393.0,1358.0,1366.0
93012,517700.0,961.6,306.0,314.0,308.0,309.333333333
94502,733400.0,961.5,320.0,303.0,317.0,313.333333333
92677,727400.0,961.4,157.0,158.0,168.0,161.0
90024,986200.0,961.333333333,90.0,121.0,120.0,110.333333333
94526,990400.0,961.333333333,621.0,591.0,622.0,611.333333333
94519,414900.0,961.0,38.0,36.0,34.0,36.0
91024,828200.0,961.0,22.0,22.0,22.0,22.0
92618,723800.0,961.0,216.0,261.0,254.0,243.666666667
90404,726000.0,961.0,29.0,27.0,21.0,25.6666666667
92614,611100.0,960.8,819.0,818.0,827.0,821.333333333
90630,539800.0,960.75,2281.0,2332.0,2318.0,2310.33333333
95746,650400.0,960.5,223.0,239.0,233.0,231.666666667
91307,572700.0,960.333333333,103.0,250.0,271.0,208.0
91708,423500.0,960.0,93.0,119.0,137.0,116.333333333
91739,547600.0,959.777777778,623.0,699.0,758.0,693.333333333
92887,773900.0,959.5,182.0,186.0,186.0,184.666666667
91789,699700.0,959.5,3824.0,3785.0,3690.0,3766.33333333
92024,803000.0,959.4,204.0,186.0,183.0,191.0
95762,532600.0,959.222222222,440.0,475.0,487.0,467.333333333
93730,377600.0,959.0,403.0,466.0,513.0,460.666666667
92845,532100.0,958.833333333,628.0,682.0,720.0,676.666666667
92808,648200.0,958.333333333,391.0,407.0,406.0,401.333333333
91791,517900.0,958.285714286,433.0,437.0,394.0,421.333333333
92008,718500.0,957.833333333,265.0,276.0,287.0,276.0
91214,702100.0,957.777777778,1655.0,1605.0,1570.0,1610.0
92656,511400.0,957.285714286,741.0,708.0,734.0,727.666666667
91745,578900.0,956.818181818,1638.0,1530.0,1539.0,1569.0
91750,540200.0,956.0,102.0,102.0,120.0,108.0
95630,424600.0,955.583333333,1138.0,1241.0,1305.0,1228.0
92069,435800.0,955.5,272.0,270.0,291.0,277.666666667
90249,415200.0,955.5,73.0,78.0,83.0,78.0
92260,321800.0,955.333333333,137.0,131.0,130.0,132.666666667
92129,652300.0,955.25,1952.0,1870.0,1945.0,1922.33333333
92692,634400.0,955.0,290.0,266.0,282.0,279.333333333
92673,806300.0,954.333333333,84.0,91.0,81.0,85.3333333333
91355,464500.0,954.0,451.0,489.0,493.0,477.666666667
91765,624600.0,953.909090909,3496.0,3470.0,3385.0,3450.33333333
91354,496900.0,952.6,430.0,427.0,453.0,436.666666667
90278,781000.0,952.4,206.0,220.0,203.0,209.666666667
91206,657400.0,952.333333333,130.0,117.0,117.0,121.333333333
91606,452000.0,952.0,13.0,27.0,28.0,22.6666666667
92335,255000.0,952.0,15.0,16.0,14.0,15.0
91301,753500.0,952.0,229.0,224.0,248.0,233.666666667
92672,765100.0,952.0,14.0,12.0,13.0,13.0
90803,791800.0,951.75,138.0,132.0,130.0,133.333333333
92128,526900.0,951.5,1013.0,985.0,944.0,980.666666667
92064,606400.0,951.1,628.0,543.0,540.0,570.333333333
91361,866800.0,951.0,44.0,47.0,34.0,41.6666666667
94595,476400.0,951.0,30.0,38.0,44.0,37.3333333333
90240,485500.0,950.666666667,52.0,53.0,52.0,52.3333333333
91915,453700.0,950.666666667,145.0,150.0,145.0,146.666666667
92879,363300.0,950.5,220.0,248.0,272.0,246.666666667
91320,614200.0,950.25,551.0,584.0,616.0,583.666666667
92870,568400.0,950.166666667,1009.0,1043.0,1144.0,1065.33333333
95618,536700.0,950.0,115.0,122.0,103.0,113.333333333
91773,518300.0,950.0,180.0,179.0,191.0,183.333333333
90277,918300.0,949.8,408.0,431.0,424.0,421.0
92831,534000.0,949.75,899.0,972.0,1038.0,969.666666667
92648,797500.0,949.0,417.0,424.0,446.0,429.0
94947,625300.0,948.75,126.0,134.0,119.0,126.333333333
91741,586600.0,948.333333333,235.0,239.0,269.0,247.666666667
92508,401300.0,948.166666667,425.0,442.0,434.0,433.666666667
94517,678500.0,948.0,64.0,71.0,67.0,67.3333333333
94949,769200.0,948.0,28.0,21.0,25.0,24.6666666667
93117,754600.0,948.0,254.0,231.0,236.0,240.333333333
91208,817600.0,948.0,154.0,160.0,170.0,161.333333333
92691,606600.0,947.818181818,719.0,692.0,668.0,693.0
91775,753000.0,947.75,621.0,667.0,691.0,659.666666667
92807,627100.0,947.375,952.0,963.0,948.0,954.333333333
91709,584100.0,947.142857143,1958.0,1979.0,1956.0,1964.33333333
92821,576900.0,947.125,814.0,814.0,815.0,814.333333333
90029,659100.0,947.0,129.0,158.0,203.0,163.333333333
95119,720100.0,947.0,295.0,318.0,356.0,323.0
95409,536500.0,947.0,45.0,51.0,49.0,48.3333333333
93021,573700.0,947.0,279.0,278.0,271.0,276.0
92630,597800.0,946.571428571,419.0,402.0,417.0,412.666666667
94510,510400.0,946.0,187.0,167.0,164.0,172.666666667
92596,344700.0,946.0,51.0,53.0,47.0,50.3333333333
93720,278300.0,945.9,734.0,702.0,636.0,690.666666667
94401,703600.0,945.75,303.0,316.0,363.0,327.333333333
91914,609900.0,945.75,131.0,132.0,121.0,128.0
92506,371000.0,945.666666667,81.0,79.0,65.0,75.0
95661,379100.0,945.5,258.0,269.0,280.0,269.0
91942,414000.0,945.5,38.0,32.0,31.0,33.6666666667
91360,602000.0,945.142857143,322.0,316.0,299.0,312.333333333
92354,358900.0,945.0,149.0,119.0,119.0,129.0
94930,742200.0,945.0,19.0,25.0,22.0,22.0
92883,423200.0,944.75,140.0,146.0,142.0,142.666666667
92679,771500.0,944.666666667,96.0,103.0,96.0,98.3333333333
91737,544700.0,944.2,404.0,410.0,407.0,407.0
90232,913100.0,944.0,22.0,26.0,30.0,26.0
94597,657200.0,943.5,165.0,162.0,188.0,171.666666667
92646,682100.0,942.8,588.0,602.0,625.0,605.0
93010,525600.0,942.75,130.0,135.0,125.0,130.0
92832,431400.0,942.666666667,131.0,139.0,138.0,136.0
90505,812100.0,942.571428571,1487.0,1482.0,1486.0,1485.0
90703,634800.0,942.3125,3805.0,3695.0,3634.0,3711.33333333
91601,512400.0,942.0,152.0,138.0,151.0,147.0
90623,629200.0,941.6,1104.0,1066.0,1007.0,1059.0
91321,407200.0,941.6,254.0,223.0,217.0,231.333333333
92122,589500.0,941.6,411.0,430.0,406.0,415.666666667
95391,487100.0,941.333333333,301.0,357.0,405.0,354.333333333
91790,446000.0,941.2,416.0,430.0,438.0,428.0
94598,826800.0,941.142857143,530.0,550.0,559.0,546.333333333
91722,401500.0,941.0,39.0,40.0,33.0,37.3333333333
90293,541700.0,941.0,18.0,27.0,28.0,24.3333333333
95677,348700.0,940.4,145.0,153.0,150.0,149.333333333
94621,231600.0,940.0,18.0,19.0,13.0,16.6666666667
