Zip,zindex,as_avg_w,as_num11,as_num12,as_num13,as_num_avg,,zindex rank,avg_w rank,,,,
90004,1094300,923.125,692,735,702,709.6666667,,758,522,,,,
90005,685100,818.5,1006,1067,1066,1046.333333,,609,93,,pearson's correl,,0.458478755
90006,511800,910,159,137,107,134.3333333,,454,437,,spearman's correl,,0.607965605
90007,491200,897,50,48,45,47.66666667,,437,363.5,,rho,,0
90010,741000,859,171,173,177,173.6666667,,652,213,,n,,834
90012,408700,891.5,603,636,652,630.3333333,,311,340,,df,,832
90019,807000,732,95,63,71,76.33333333,,689,13,,sr,,0.027525727
90024,986200,961.3333333,90,121,120,110.3333333,,735,734.5,,t,,22.08717693
90025,751100,921.3333333,217,219,210,215.3333333,,657,509.5,,alpha,,0.05
90026,652100,856,147,135,136,139.3333333,,571,205.5,,t-crit,,1.962819354
90027,1163200,917.6666667,248,212,243,234.3333333,,765,487,,p-value,,1.95421E-85
90028,653200,837.3333333,82,66,77,75,,573.5,137,,,,
90029,659100,947,129,158,203,163.3333333,,582,653.5,,,,
90031,404900,877.6666667,596,576,508,560,,300,283,,,,
90032,376600,894,203,195,176,191.3333333,,260,351,,,,
90033,340200,933,142,138,117,132.3333333,,221,578.5,,,,
90034,847800,910.1666667,455,472,459,462,,705,439,,,,
90035,1059500,943,383,371,338,364,,752,629,,,,
90036,1300000,959,192,246,215,217.6666667,,788,717,,,,
90038,686200,847,19,30,28,25.66666667,,610,164.5,,,,
90039,705900,966,28,41,45,38,,626,762,,,,
90041,652000,919.5,183,182,217,194,,570,497,,,,
90042,513700,900.5,51,49,46,48.66666667,,457,384.5,,,,
90045,815900,876.6666667,104,103,90,99,,692,274.5,,,,
90046,1121600,943.8,495,503,543,513.6666667,,761,632,,,,
90048,1203500,836,14,20,17,17,,775,135,,,,
90049,2300200,963.6666667,406,418,405,409.6666667,,825,746,,,,
90064,1083800,976,23,57,63,47.66666667,,755,799.5,,,,
90065,599100,875,363,293,275,310.3333333,,529,272,,,,
90066,986400,930.5,128,157,167,150.6666667,,736,560,,,,
90210,4140800,954.5,85,88,79,84,,833,698,,,,
90211,1635800,961,79,88,86,84.33333333,,813,731,,,,
90212,1859400,940,317,269,257,281,,816,610.5,,,,
90230,639800,939.6,546,530,512,529.3333333,,557,607,,,,
90232,913100,944,22,26,30,26,,719,633,,,,
90240,485500,950.6666667,52,53,52,52.33333333,,427,677.5,,,,
90241,488300,932.75,218,212,198,209.3333333,,434,577,,,,
90242,414700,888.3333333,46,42,43,43.66666667,,321,321.5,,,,
90245,846600,930.75,172,176,173,173.6666667,,704,564,,,,
90247,390100,925,176,160,166,167.3333333,,276,533,,,,
90248,404200,854.5,68,71,79,72.66666667,,298.5,197.5,,,,
90249,415200,955.5,73,78,83,78,,323,702.5,,,,
90250,467300,897.2857143,154,186,162,167.3333333,,404,366,,,,
90260,430300,874.5714286,314,297,283,298,,349,271,,,,
90265,2423500,913,20,22,18,20,,828,459.5,,,,
90266,1856800,976.2857143,525,458,440,474.3333333,,815,803,,,,
90272,2342000,922,183,168,179,176.6666667,,827,514,,,,
90274,1632700,961.8571429,1324,1262,1308,1298,,812,740,,,,
90275,1158900,976.1111111,1184,1202,1194,1193.333333,,764,801,,,,
90277,918300,949.8,408,431,424,421,,720,671,,,,
90278,781000,952.4,206,220,203,209.6666667,,676,691,,,,
90291,1373800,940,12,25,27,21.33333333,,795,610.5,,,,
90293,541700,941,18,27,28,24.33333333,,484,615,,,,
90403,958100,979,191,197,192,193.3333333,,730,806.5,,,,
90404,726000,961,29,27,21,25.66666667,,639,731,,,,
90405,1171700,926,219,221,204,214.6666667,,767,540,,,,
90501,545800,913.8333333,528,523,505,518.6666667,,488,463,,,,
90503,738500,934.75,1932,1904,1931,1922.333333,,651,586,,,,
90504,579000,903,1267,1205,1170,1214,,514,402,,,,
90505,812100,942.5714286,1487,1482,1486,1485,,691,625,,,,
90603,480800,965,13,16,19,16,,421,754.5,,,,
90604,443500,908.75,89,79,65,77.66666667,,367,429,,,,
90605,408100,928.3333333,76,79,78,77.66666667,,309,550,,,,
90620,455700,930.7142857,347,351,355,351,,387.5,563,,,,
90621,467200,911,405,386,400,397,,403,444,,,,
90623,629200,941.6,1104,1066,1007,1059,,552,621,,,,
90630,539800,960.75,2281,2332,2318,2310.333333,,482,727,,,,
90631,469300,928.6,233,228,212,224.3333333,,409,552,,,,
90638,466100,935.2857143,352,339,319,336.6666667,,400,587,,,,
90640,422000,891,207,185,157,183,,334,334,,,,
90650,375800,888.5,101,113,116,110,,259,323,,,,
90670,403500,931,34,28,22,28,,297,565.5,,,,
90680,397700,852,96,97,86,93,,285,181,,,,
90701,443400,912.25,237,212,203,217.3333333,,366,455.5,,,,
90703,634800,942.3125,3805,3695,3634,3711.333333,,556,624,,,,
90706,401700,905.3333333,84,85,86,85,,294,413,,,,
90710,472800,829,75,68,64,69,,413,117.5,,,,
90712,468900,901.4285714,312,296,279,295.6666667,,407,391,,,,
90713,484900,874,477,501,484,487.3333333,,426,266,,,,
90715,415400,898.5,122,110,104,112,,324,374,,,,
90717,570100,905,75,81,89,81.66666667,,502,412,,,,
90720,797000,979.5,765,768,806,779.6666667,,684,808,,,,
90723,321000,820,24,15,20,19.66666667,,200.5,97.5,,,,
90731,496200,879.3333333,79,80,77,78.66666667,,441,289.5,,,,
90732,552500,1000,41,43,53,45.66666667,,494,834,,,,
90740,809300,939,25,32,32,29.66666667,,690,604,,,,
90744,372200,968,21,21,20,20.66666667,,255,773,,,,
90745,400900,848,136,124,171,143.6666667,,290,167,,,,
90755,406800,842.6666667,381,372,364,372.3333333,,306,150,,,,
90802,278200,811,67,68,61,65.33333333,,156,84,,,,
90803,791800,951.75,138,132,130,133.3333333,,682,683,,,,
90804,399100,844.8,554,527,524,535,,288,155,,,,
90805,345800,845.6363636,440,413,425,426,,228,159,,,,
90806,422800,853.75,144,155,161,153.3333333,,336,190,,,,
90807,515000,909,341,348,365,351.3333333,,459,431.5,,,,
90808,567700,898.1666667,346,299,315,320,,500,372,,,,
90810,349300,821.8,131,147,149,142.3333333,,231,100,,,,
90813,321000,852.5,1047,1022,921,996.6666667,,200.5,185.5,,,,
90814,642700,916.5,58,55,50,54.33333333,,561,481.5,,,,
90815,572700,914.625,478,467,471,472,,505.5,465,,,,
91006,1031300,973,1859,1851,1900,1870,,748,787,,,,
91007,1126100,963.8333333,3152,3122,2976,3083.333333,,762,748,,,,
91010,429800,877,67,75,71,71,,348,278,,,,
91011,1435500,981,791,811,817,806.3333333,,802,814.5,,,,
91016,560300,929,124,115,134,124.3333333,,497,553.5,,,,
91024,828200,961,22,22,22,22,,698,731,,,,
91030,851900,963.8,1251,1242,1207,1233.333333,,706,747,,,,
91040,462100,919,56,60,60,58.66666667,,396,496,,,,
91042,474400,874,73,62,62,65.66666667,,416,266,,,,
91101,452600,915,82,81,85,82.66666667,,383,470.5,,,,
91104,648700,894,51,50,56,52.33333333,,567,351,,,,
91106,554400,795,23,26,34,27.66666667,,495,61,,,,
91107,764300,923.25,116,128,136,126.6666667,,663,523,,,,
91108,2134200,973.5,1383,1370,1342,1365,,822,789,,,,
91201,645700,874,29,29,28,28.66666667,,564,266,,,,
91202,655700,929,254,282,280,272,,577,553.5,,,,
91204,424600,968,12,19,19,16.66666667,,342,773,,,,
91205,508400,902.5,101,86,78,88.33333333,,450,400,,,,
91206,657400,952.3333333,130,117,117,121.3333333,,580,690,,,,
91208,817600,948,154,160,170,161.3333333,,694,663,,,,
91214,702100,957.7777778,1655,1605,1570,1610,,622,709,,,,
91301,753500,952,229,224,248,233.6666667,,659,687,,,,
