Zip,zindex,avg_w,zindex rank,avg_w rank,,,,,,
90001,267100,768.5,92,144,,,,,,
90003,279900,739,102,102,,,,pearson's correl,,0.332993558
90004,1094300,640,359,20.5,,,,spearman's correl,,0.322339936
90006,511800,744,259,110,,,,rho,,0
90007,491200,742.125,243,108,,,,n,,374
90008,548600,729,274,84,,,,df,,372
90011,307400,785.25,118,172,,,,sr,,0.049080167
90012,408700,866,190,302.5,,,,t,,6.567620996
90015,571300,806,277,205,,,,alpha,,0.05
90016,431100,763,211,137,,,,t-crit,,1.966361504
90017,497200,747.5,249,115,,,,p-value,,1.72424E-10
90018,427700,749,207,117,,,,,,
90022,336600,966,143,372,,,,,,
90023,316700,831,124,250,,,,,,
90024,986200,742,352,107,,,,,,
90025,751100,934.5,325,360,,,,,,
90026,652100,762.8,306,136,,,,,,
90028,653200,584,307.5,8,,,,,,
90031,404900,778,185,163,,,,,,
90032,376600,690,166,50.5,,,,,,
90034,847800,829,341,244.5,,,,,,
90037,348200,731,150,88,,,,,,
90038,686200,761,313,132.5,,,,,,
90041,652000,877,305,317.5,,,,,,
90042,513700,750,260,119.5,,,,,,
90043,410600,755,193,127,,,,,,
90044,300400,793,113,185,,,,,,
90045,815900,869.3333333,334,308,,,,,,
90046,1121600,925,361,352,,,,,,
90047,328200,736,136,96.5,,,,,,
90049,2300200,932.3333333,371,359,,,,,,
90056,906900,614,347,12,,,,,,
90059,261500,680.5,89,44,,,,,,
90061,289900,623.75,107,17,,,,,,
90062,371700,788,162,177,,,,,,
90063,318500,694,126.5,52,,,,,,
90064,1083800,771,357,147.5,,,,,,
90065,599100,848.75,287,274,,,,,,
90066,986400,835.25,353,256,,,,,,
90201,337700,711,144,64,,,,,,
90221,287900,671,106,40,,,,,,
90247,390100,760,173,131,,,,,,
90248,404200,661,183,30,,,,,,
90250,467300,807.5,228,208,,,,,,
90255,334400,786.75,141,176,,,,,,
90260,430300,812,209,211.5,,,,,,
90272,2342000,908,372,339,,,,,,
90280,332800,834,140,253,,,,,,
90290,1100900,942,360,366,,,,,,
90291,1373800,775,365,155.5,,,,,,
90301,321600,732,131,90,,,,,,
90302,319500,819.6666667,128,227.5,,,,,,
90303,404000,829,182,244.5,,,,,,
90305,398700,731.5,178.5,89,,,,,,
90402,3064100,968,374,373,,,,,,
90731,496200,820,248,230,,,,,,
90746,442000,761,214,132.5,,,,,,
90805,345800,679,149,43,,,,,,
90813,321000,646,130,23,,,,,,
91001,650900,823.75,304,235,,,,,,
91042,474400,784,233,171,,,,,,
91107,764300,661.5,329,31,,,,,,
91214,702100,640,315,20.5,,,,,,
91303,394400,801.5,175,198,,,,,,
91304,528800,873.3333333,267,314,,,,,,
91306,448200,769,219,145.5,,,,,,
91307,572700,899.25,278,337,,,,,,
91311,532200,843,268,264,,,,,,
91316,534800,888,271,330,,,,,,
91324,508200,881.3333333,257,323,,,,,,
91325,586700,868,283,304.5,,,,,,
91326,676100,920,311,348,,,,,,
91331,357500,754.5,154.5,126,,,,,,
91335,422400,791.6666667,205,182,,,,,,
91340,345700,804,148,201.5,,,,,,
91342,404800,828.8333333,184,242,,,,,,
91343,456200,884.5,223,325,,,,,,
91344,523800,877.8,265,320,,,,,,
91352,396600,719,176,74,,,,,,
91355,464500,785.5,225,173,,,,,,
91356,834400,903.5,338,338,,,,,,
91360,602000,846,288,268.5,,,,,,
91361,866800,817,343,223,,,,,,
91362,719600,929,318,356,,,,,,
91364,766500,854.1666667,330,289,,,,,,
91367,625800,840.8,296,261,,,,,,
91384,468800,772,229,150,,,,,,
91401,629700,865.5,298,301,,,,,,
91403,842500,887.5,339,329,,,,,,
