Zip,zindex,di_avg_w,di_num11,di_num12,di_num13,di_num_avg
90001,267100.0,506.333333333,773.0,771.0,725.0,756.333333333
90002,254500.0,516.111111111,524.0,492.0,508.0,508.0
90003,279900.0,526.615384615,1082.0,962.0,970.0,1004.66666667
90004,1094300.0,659.75,549.0,545.0,523.0,539.0
90005,685100.0,525.666666667,536.0,551.0,609.0,565.333333333
90006,511800.0,583.833333333,459.0,456.0,436.0,450.333333333
90007,491200.0,572.117647059,1107.0,1116.0,1214.0,1145.66666667
90008,548600.0,540.428571429,426.0,417.0,413.0,418.666666667
90010,741000.0,538.0,93.0,121.0,152.0,122.0
90011,307400.0,557.36,1680.0,1553.0,1439.0,1557.33333333
90012,408700.0,631.0,132.0,160.0,169.0,153.666666667
90015,571300.0,662.75,174.0,188.0,179.0,180.333333333
90016,431100.0,546.666666667,473.0,499.0,469.0,480.333333333
90017,497200.0,479.125,451.0,438.0,454.0,447.666666667
90018,427700.0,564.4,566.0,551.0,507.0,541.333333333
90019,807000.0,571.857142857,605.0,561.0,540.0,568.666666667
90022,336600.0,601.909090909,979.0,1029.0,1124.0,1044.0
90023,316700.0,550.090909091,901.0,918.0,868.0,895.666666667
90024,986200.0,681.0,149.0,153.0,125.0,142.333333333
90025,751100.0,689.8,273.0,284.0,346.0,301.0
90026,652100.0,566.0,742.0,724.0,748.0,738.0
90027,1163200.0,574.333333333,285.0,227.0,222.0,244.666666667
90028,653200.0,543.571428571,473.0,462.0,382.0,439.0
90029,659100.0,613.5,306.0,293.0,277.0,292.0
90031,404900.0,569.538461538,556.0,607.0,520.0,561.0
90032,376600.0,590.909090909,795.0,778.0,807.0,793.333333333
90033,340200.0,498.0625,829.0,808.0,736.0,791.0
90034,847800.0,631.875,603.0,593.0,565.0,587.0
90035,1059500.0,739.333333333,137.0,117.0,129.0,127.666666667
90036,1300000.0,681.0,84.0,87.0,85.0,85.3333333333
90037,348200.0,541.6,618.0,651.0,550.0,606.333333333
90038,686200.0,557.666666667,258.0,278.0,252.0,262.666666667
90039,705900.0,658.4,166.0,159.0,146.0,157.0
90040,331600.0,635.0,116.0,139.0,173.0,142.666666667
90041,652000.0,652.875,500.0,491.0,505.0,498.666666667
90042,513700.0,593.454545455,722.0,641.0,604.0,655.666666667
90043,410600.0,536.636363636,480.0,485.0,470.0,478.333333333
90044,300400.0,543.818181818,847.0,839.0,770.0,818.666666667
90045,815900.0,624.857142857,389.0,352.0,304.0,348.333333333
90046,1121600.0,685.666666667,380.0,394.0,391.0,388.333333333
90047,328200.0,516.625,535.0,510.0,479.0,508.0
90048,1203500.0,653.5,81.0,66.0,44.0,63.6666666667
90049,2300200.0,741.75,326.0,350.0,344.0,340.0
90056,906900.0,434.0,18.0,17.0,12.0,15.6666666667
90059,261500.0,543.454545455,337.0,338.0,388.0,354.333333333
90061,289900.0,565.666666667,639.0,665.0,626.0,643.333333333
90062,371700.0,573.0,268.0,262.0,256.0,262.0
90063,318500.0,519.214285714,783.0,762.0,711.0,752.0
90064,1083800.0,653.333333333,197.0,196.0,196.0,196.333333333
90065,599100.0,599.909090909,584.0,578.0,565.0,575.666666667
90066,986400.0,663.416666667,751.0,732.0,738.0,740.333333333
90068,1164000.0,642.0,22.0,15.0,18.0,18.3333333333
90069,737800.0,788.0,29.0,30.0,23.0,27.3333333333
90077,2477400.0,849.0,26.0,32.0,18.0,25.3333333333
90201,337700.0,516.368421053,1642.0,1703.0,1847.0,1730.66666667
90210,4140800.0,765.5,180.0,157.0,152.0,163.0
90211,1635800.0,774.0,75.0,68.0,79.0,74.0
90212,1859400.0,706.5,272.0,241.0,242.0,251.666666667
90220,269200.0,601.6,483.0,593.0,639.0,571.666666667
90221,287900.0,547.111111111,399.0,425.0,489.0,437.666666667
90222,257100.0,610.714285714,232.0,266.0,276.0,258.0
90230,639800.0,706.75,452.0,464.0,469.0,461.666666667
90232,913100.0,661.0,81.0,92.0,110.0,94.3333333333
90240,485500.0,640.5,342.0,354.0,381.0,359.0
90241,488300.0,609.166666667,921.0,934.0,968.0,941.0
90242,414700.0,611.333333333,739.0,793.0,831.0,787.666666667
90245,846600.0,740.25,200.0,201.0,232.0,211.0
90247,390100.0,605.666666667,435.0,445.0,469.0,449.666666667
90248,404200.0,514.0,243.0,230.0,238.0,237.0
90249,415200.0,764.0,117.0,122.0,115.0,118.0
90250,467300.0,592.153846154,797.0,849.0,825.0,823.666666667
90254,1258900.0,825.0,110.0,128.0,156.0,131.333333333
90255,334400.0,563.0,1299.0,1291.0,1141.0,1243.66666667
90260,430300.0,634.272727273,807.0,764.0,879.0,816.666666667
90262,304300.0,553.571428571,738.0,800.0,829.0,789.0
90265,2423500.0,754.5,148.0,161.0,150.0,153.0
90266,1856800.0,822.142857143,518.0,549.0,527.0,531.333333333
90270,371400.0,596.8,301.0,319.0,306.0,308.666666667
90272,2342000.0,723.333333333,285.0,263.0,263.0,270.333333333
90274,1632700.0,795.571428571,528.0,571.0,549.0,549.333333333
90275,1158900.0,767.6,637.0,670.0,609.0,638.666666667
