Zip,zindex,el_avg_w,el_num11,el_num12,el_num13,el_num_avg
90001,267100.0,695.666666667,5035.0,4826.0,3573.0,4478.0
90002,254500.0,643.181818182,2852.0,2514.0,2056.0,2474.0
90003,279900.0,687.533333333,6737.0,5777.0,4379.0,5631.0
90004,1094300.0,790.583333333,2843.0,2936.0,2685.0,2821.33333333
90005,685100.0,672.444444444,3309.0,3252.0,2455.0,3005.33333333
90006,511800.0,735.0,2967.0,2840.0,2296.0,2701.0
90007,491200.0,732.470588235,6170.0,5837.0,4337.0,5448.0
90008,548600.0,646.333333333,606.0,574.0,524.0,568.0
90010,741000.0,730.5,656.0,782.0,655.0,697.666666667
90011,307400.0,704.571428571,12034.0,10713.0,8220.0,10322.3333333
90012,408700.0,784.833333333,1237.0,1245.0,812.0,1098.0
90015,571300.0,814.4,1474.0,1519.0,1388.0,1460.33333333
90016,431100.0,717.875,1414.0,1458.0,1226.0,1366.0
90017,497200.0,608.222222222,3211.0,2915.0,1982.0,2702.66666667
90018,427700.0,719.75,2114.0,1975.0,1509.0,1866.0
90019,807000.0,704.142857143,2968.0,2655.0,1736.0,2453.0
90022,336600.0,735.923076923,4835.0,4649.0,3621.0,4368.33333333
90023,316700.0,724.692307692,5200.0,4783.0,3526.0,4503.0
90024,986200.0,756.5,300.0,244.0,137.0,227.0
90025,751100.0,749.75,818.0,675.0,370.0,621.0
90026,652100.0,664.235294118,4286.0,3860.0,2770.0,3638.66666667
90027,1163200.0,733.25,1306.0,1004.0,552.0,954.0
90028,653200.0,651.5,2488.0,2129.0,1177.0,1931.33333333
90029,659100.0,733.75,1504.0,1403.0,998.0,1301.66666667
90031,404900.0,722.076923077,2823.0,2660.0,1797.0,2426.66666667
90032,376600.0,695.272727273,2792.0,2434.0,1527.0,2251.0
90033,340200.0,622.166666667,4568.0,4119.0,2440.0,3709.0
90034,847800.0,757.285714286,1555.0,1437.0,924.0,1305.33333333
90035,1059500.0,779.333333333,209.0,200.0,143.0,184.0
90036,1300000.0,826.0,183.0,232.0,188.0,201.0
90037,348200.0,700.636363636,3907.0,3586.0,2426.0,3306.33333333
90038,686200.0,713.75,1371.0,1263.0,937.0,1190.33333333
90039,705900.0,794.4,351.0,339.0,299.0,329.666666667
90040,331600.0,749.0,526.0,563.0,579.0,556.0
90041,652000.0,772.444444444,1360.0,977.0,716.0,1017.66666667
90042,513700.0,719.416666667,2839.0,2503.0,1645.0,2329.0
90043,410600.0,716.4,1276.0,1354.0,1262.0,1297.33333333
90044,300400.0,678.25,4119.0,4018.0,3118.0,3751.66666667
90045,815900.0,781.571428571,351.0,381.0,275.0,335.666666667
90046,1121600.0,815.833333333,1071.0,1028.0,651.0,916.666666667
90047,328200.0,672.0,1085.0,1048.0,827.0,986.666666667
90048,1203500.0,737.0,124.0,112.0,94.0,110.0
90049,2300200.0,845.25,750.0,718.0,545.0,671.0
90059,261500.0,717.076923077,1821.0,1869.0,1794.0,1828.0
90061,289900.0,694.6,2044.0,2101.0,1838.0,1994.33333333
90062,371700.0,711.5,832.0,820.0,619.0,757.0
90063,318500.0,625.75,4251.0,4088.0,2732.0,3690.33333333
90064,1083800.0,673.0,328.0,318.0,187.0,277.666666667
90065,599100.0,745.0,2329.0,2223.0,1696.0,2082.66666667
90066,986400.0,733.5,1867.0,1669.0,1080.0,1538.66666667
90068,1164000.0,771.0,25.0,20.0,12.0,19.0
90069,737800.0,819.0,30.0,31.0,32.0,31.0
90201,337700.0,686.842105263,11081.0,10768.0,8629.0,10159.3333333
90210,4140800.0,840.0,114.0,118.0,104.0,112.0
90211,1635800.0,816.0,65.0,69.0,70.0,68.0
90212,1859400.0,785.5,159.0,183.0,167.0,169.666666667
90220,269200.0,739.4,3903.0,3565.0,3578.0,3682.0
90221,287900.0,709.6,4441.0,4409.0,4530.0,4460.0
90222,257100.0,719.125,1806.0,1658.0,1606.0,1690.0
90230,639800.0,802.75,1131.0,1104.0,980.0,1071.66666667
90232,913100.0,803.0,258.0,254.0,250.0,254.0
90240,485500.0,793.5,901.0,652.0,745.0,766.0
90241,488300.0,719.714285714,2172.0,1978.0,2161.0,2103.66666667
90242,414700.0,765.0,1953.0,1650.0,1914.0,1839.0
90245,846600.0,775.5,146.0,156.0,158.0,153.333333333
90247,390100.0,762.5,1903.0,1857.0,1475.0,1745.0
90248,404200.0,697.5,887.0,756.0,437.0,693.333333333
90249,415200.0,850.333333333,212.0,229.0,225.0,222.0
90250,467300.0,738.533333333,3900.0,3925.0,3387.0,3737.33333333
90255,334400.0,717.928571429,8214.0,7466.0,4280.0,6653.33333333
90260,430300.0,750.833333333,3838.0,4068.0,3111.0,3672.33333333
90262,304300.0,708.411764706,7199.0,6624.0,6469.0,6764.0
90265,2423500.0,787.0,110.0,109.0,100.0,106.333333333
90266,1856800.0,810.0,15.0,11.0,18.0,14.6666666667
90270,371400.0,744.2,1757.0,1654.0,1261.0,1557.33333333
90272,2342000.0,773.0,274.0,255.0,281.0,270.0
90274,1632700.0,888.428571429,314.0,316.0,303.0,311.0
90275,1158900.0,888.875,654.0,623.0,437.0,571.333333333
90277,918300.0,857.6,352.0,242.0,258.0,284.0
90278,781000.0,861.0,210.0,204.0,212.0,208.666666667
90280,332800.0,704.65,8816.0,8161.0,5057.0,7344.66666667
90291,1373800.0,827.0,289.0,280.0,378.0,315.666666667
90292,821800.0,712.0,137.0,122.0,63.0,107.333333333
90293,541700.0,830.0,62.0,65.0,59.0,62.0
90301,321600.0,737.5,1417.0,469.0,1151.0,1012.33333333
90302,319500.0,808.0,471.0,182.0,481.0,378.0
90303,404000.0,762.666666667,1060.0,361.0,968.0,796.333333333
90305,398700.0,800.0,125.0,155.0,299.0,193.0
90403,958100.0,894.0,267.0,250.0,228.0,248.333333333
90404,726000.0,847.5,204.0,175.0,167.0,182.0
90405,1171700.0,756.8,878.0,809.0,763.0,816.666666667
90501,545800.0,773.166666667,685.0,717.0,741.0,714.333333333
90502,371800.0,719.0,445.0,397.0,381.0,407.666666667
90503,738500.0,850.75,1040.0,1029.0,1053.0,1040.66666667
90504,579000.0,817.375,933.0,927.0,947.0,935.666666667
90505,812100.0,866.0,736.0,747.0,750.0,744.333333333
90601,432600.0,747.857142857,1170.0,1253.0,1213.0,1212.0
