Zip,zindex,fi_avg_w,fi_num11,fi_num12,fi_num13,fi_num_avg
92835,663700.0,994.0,15.0,13.0,12.0,13.3333333333
93720,278300.0,965.25,63.0,56.0,48.0,55.6666666667
95618,536700.0,964.0,13.0,14.0,14.0,13.6666666667
90278,781000.0,963.0,13.0,16.0,12.0,13.6666666667
93619,373500.0,961.5,52.0,41.0,42.0,45.0
92504,274700.0,960.0,29.0,35.0,32.0,32.0
92603,990900.0,955.5,34.0,36.0,27.0,32.3333333333
91784,586900.0,953.0,19.0,20.0,18.0,19.0
91739,547600.0,951.375,405.0,425.0,429.0,419.666666667
92883,423200.0,951.0,52.0,56.0,59.0,55.6666666667
92833,471300.0,950.666666667,166.0,171.0,179.0,172.0
92078,502000.0,949.75,135.0,125.0,129.0,129.666666667
92069,435800.0,949.0,209.0,200.0,200.0,203.0
92614,611100.0,949.0,34.0,36.0,30.0,33.3333333333
91740,447100.0,948.0,11.0,16.0,13.0,13.3333333333
95762,532600.0,947.333333333,59.0,55.0,52.0,55.3333333333
92887,773900.0,947.0,17.0,15.0,19.0,17.0
92201,198700.0,945.0,39.0,38.0,37.0,38.0
92694,732200.0,945.0,62.0,59.0,64.0,61.6666666667
92618,723800.0,943.0,13.0,25.0,24.0,20.6666666667
92705,792900.0,941.0,25.0,26.0,24.0,25.0
94552,823300.0,941.0,57.0,78.0,77.0,70.6666666667
93274,147600.0,940.0,17.0,16.0,17.0,16.6666666667
92083,366800.0,940.0,24.0,24.0,26.0,24.6666666667
94517,678500.0,940.0,34.0,33.0,36.0,34.3333333333
92571,227300.0,939.333333333,48.0,59.0,54.0,53.6666666667
92879,363300.0,939.333333333,62.0,68.0,69.0,66.3333333333
91030,851900.0,938.666666667,66.0,72.0,73.0,70.3333333333
91914,609900.0,938.5,570.0,558.0,548.0,558.666666667
92606,691400.0,937.5,56.0,57.0,60.0,57.6666666667
94582,944400.0,937.428571429,305.0,324.0,349.0,326.0
91741,586600.0,937.0,79.0,82.0,83.0,81.3333333333
92020,416600.0,936.5,35.0,32.0,36.0,34.3333333333
90720,797000.0,936.5,144.0,152.0,152.0,149.333333333
95135,922500.0,936.333333333,125.0,130.0,116.0,123.666666667
90603,480800.0,936.0,22.0,15.0,11.0,16.0
95348,201300.0,935.0,27.0,27.0,30.0,28.0
91354,496900.0,935.0,205.0,233.0,250.0,229.333333333
91362,719600.0,934.5,38.0,39.0,40.0,39.0
91301,753500.0,934.0,12.0,12.0,17.0,13.6666666667
91708,423500.0,934.0,49.0,56.0,65.0,56.6666666667
93611,259400.0,933.857142857,157.0,170.0,179.0,168.666666667
94502,733400.0,933.0,26.0,18.0,20.0,21.3333333333
92354,358900.0,933.0,58.0,50.0,51.0,53.0
92688,573500.0,932.875,213.0,204.0,210.0,209.0
91730,364200.0,932.8,133.0,130.0,124.0,129.0
92845,532100.0,932.666666667,83.0,81.0,84.0,82.6666666667
90620,455700.0,932.428571429,263.0,289.0,294.0,282.0
95340,187400.0,932.0,18.0,22.0,19.0,19.6666666667
94588,789400.0,931.75,130.0,121.0,117.0,122.666666667
92808,648200.0,931.5,55.0,46.0,41.0,47.3333333333
92620,768300.0,931.2,133.0,128.0,134.0,131.666666667
91942,414000.0,930.5,38.0,27.0,24.0,29.6666666667
95304,481900.0,930.0,29.0,31.0,30.0,30.0
92831,534000.0,930.0,123.0,149.0,158.0,143.333333333
92264,277100.0,930.0,48.0,53.0,38.0,46.3333333333
92131,671500.0,929.6,253.0,217.0,214.0,228.0
95926,255500.0,929.0,11.0,13.0,14.0,12.6666666667
90240,485500.0,929.0,11.0,13.0,20.0,14.6666666667
91913,457300.0,928.8,1700.0,1751.0,1788.0,1746.33333333
92701,372000.0,928.0,24.0,26.0,28.0,26.0
93309,172800.0,928.0,14.0,15.0,13.0,14.0
92612,659300.0,927.5,58.0,67.0,63.0,62.6666666667
91387,446100.0,927.0,28.0,29.0,35.0,30.6666666667
92821,576900.0,927.0,103.0,108.0,114.0,108.333333333
90033,340200.0,927.0,44.0,43.0,35.0,40.6666666667
94519,414900.0,927.0,25.0,36.0,46.0,35.6666666667
90630,539800.0,926.5,411.0,415.0,400.0,408.666666667
92223,259100.0,926.333333333,146.0,157.0,154.0,152.333333333
90604,443500.0,926.333333333,51.0,65.0,69.0,61.6666666667
93730,377600.0,926.0,74.0,86.0,95.0,85.0
95367,233600.0,926.0,16.0,17.0,20.0,17.6666666667
92127,683300.0,925.375,385.0,355.0,377.0,372.333333333
91602,680600.0,925.0,23.0,27.0,20.0,23.3333333333
92236,174100.0,925.0,23.0,26.0,22.0,23.6666666667
95661,379100.0,924.666666667,66.0,83.0,88.0,79.0
91709,584100.0,924.615384615,731.0,736.0,745.0,737.333333333
90703,634800.0,924.4375,1214.0,1310.0,1343.0,1289.0
92011,767800.0,923.0,17.0,14.0,11.0,14.0
91016,560300.0,923.0,83.0,88.0,84.0,85.0
95138,927000.0,923.0,52.0,50.0,49.0,50.3333333333
92602,790000.0,922.75,84.0,82.0,115.0,93.6666666667
91773,518300.0,922.333333333,75.0,81.0,83.0,79.6666666667
92584,309800.0,922.142857143,263.0,274.0,253.0,263.333333333
93021,573700.0,922.0,27.0,31.0,34.0,30.6666666667
90806,422800.0,922.0,83.0,79.0,74.0,78.6666666667
90031,404900.0,922.0,13.0,20.0,17.0,16.6666666667
92604,682000.0,921.5,170.0,174.0,178.0,174.0
92009,736500.0,921.333333333,45.0,48.0,47.0,46.6666666667
94553,460300.0,921.25,87.0,83.0,90.0,86.6666666667
95630,424600.0,921.2,113.0,127.0,128.0,122.666666667
90717,570100.0,921.0,161.0,194.0,178.0,177.666666667
92508,401300.0,920.8,146.0,157.0,166.0,156.333333333
90807,515000.0,920.333333333,195.0,209.0,199.0,201.0
91360,602000.0,919.5,35.0,50.0,45.0,43.3333333333
91356,834400.0,919.0,39.0,45.0,51.0,45.0
93612,166800.0,919.0,17.0,12.0,18.0,15.6666666667
95351,139200.0,919.0,20.0,16.0,20.0,18.6666666667
93035,487600.0,919.0,41.0,27.0,39.0,35.6666666667
93308,173800.0,919.0,15.0,15.0,20.0,16.6666666667
95742,343900.0,919.0,51.0,57.0,66.0,58.0
91710,408200.0,918.833333333,167.0,163.0,144.0,158.0
91789,699700.0,918.777777778,813.0,786.0,730.0,776.333333333
90808,567700.0,918.666666667,91.0,79.0,81.0,83.6666666667
90701,443400.0,918.0,174.0,188.0,199.0,187.0
90277,918300.0,918.0,72.0,74.0,82.0,76.0
90242,414700.0,918.0,14.0,11.0,12.0,12.3333333333
91214,702100.0,917.2,178.0,191.0,193.0,187.333333333
91342,404800.0,917.0,14.0,19.0,15.0,16.0
92324,212500.0,917.0,54.0,53.0,46.0,51.0
92336,377900.0,916.777777778,329.0,336.0,325.0,330.0
93012,517700.0,916.4,200.0,200.0,188.0,196.0
94583,778700.0,916.333333333,167.0,177.0,182.0,175.333333333
92886,678300.0,916.333333333,53.0,58.0,57.0,56.0
92881,464300.0,916.2,225.0,223.0,200.0,216.0
94534,426900.0,916.125,537.0,673.0,708.0,639.333333333
91765,624600.0,915.285714286,252.0,232.0,231.0,238.333333333
91910,400100.0,915.181818182,744.0,726.0,679.0,716.333333333
91324,508200.0,915.0,172.0,180.0,201.0,184.333333333
94132,854100.0,915.0,132.0,121.0,118.0,123.666666667
91208,817600.0,915.0,21.0,16.0,17.0,18.0
91203,411500.0,915.0,47.0,39.0,41.0,42.3333333333
91701,470000.0,915.0,131.0,125.0,129.0,128.333333333
92880,489900.0,914.857142857,397.0,395.0,418.0,403.333333333
91791,517900.0,914.75,176.0,161.0,150.0,162.333333333
92780,574400.0,914.75,98.0,93.0,88.0,93.0
95020,595400.0,914.666666667,59.0,70.0,59.0,62.6666666667
92056,412800.0,914.5,49.0,40.0,29.0,39.3333333333
90039,705900.0,914.333333333,80.0,93.0,64.0,79.0
92870,568400.0,914.333333333,66.0,83.0,80.0,76.3333333333
95117,845300.0,914.0,14.0,13.0,15.0,14.0
94596,804600.0,914.0,23.0,29.0,35.0,29.0
91355,464500.0,914.0,282.0,289.0,280.0,283.666666667
95816,425100.0,914.0,13.0,15.0,14.0,14.0
91790,446000.0,913.714285714,154.0,169.0,183.0,168.666666667
91505,615100.0,913.0,71.0,71.0,69.0,70.3333333333
91423,821000.0,913.0,44.0,50.0,53.0,49.0
92373,419100.0,913.0,69.0,60.0,64.0,64.3333333333
92123,466800.0,913.0,58.0,45.0,42.0,48.3333333333
92563,357400.0,912.916666667,697.0,673.0,638.0,669.333333333
93312,267200.0,912.888888889,208.0,190.0,189.0,195.666666667
95355,246900.0,912.666666667,201.0,194.0,219.0,204.666666667
90712,468900.0,912.6,150.0,129.0,125.0,134.666666667
94566,919800.0,912.5,122.0,125.0,116.0,121.0
