Zip,zindex,fi_avg_w,fi_num11,fi_num12,fi_num13,fi_num_avg
90004,1094300.0,904.0,170.0,194.0,193.0,185.666666667
90005,685100.0,843.0,171.0,165.0,160.0,165.333333333
90010,741000.0,862.0,15.0,21.0,19.0,18.3333333333
90012,408700.0,807.5,98.0,107.0,125.0,110.0
90024,986200.0,885.0,17.0,17.0,11.0,15.0
90025,751100.0,775.0,31.0,26.0,24.0,27.0
90026,652100.0,812.75,183.0,176.0,156.0,171.666666667
90027,1163200.0,823.0,281.0,265.0,247.0,264.333333333
90028,653200.0,815.0,139.0,132.0,108.0,126.333333333
90029,659100.0,869.666666667,214.0,221.0,188.0,207.666666667
90031,404900.0,922.0,13.0,20.0,17.0,16.6666666667
90033,340200.0,927.0,44.0,43.0,35.0,40.6666666667
90034,847800.0,859.0,69.0,79.0,66.0,71.3333333333
90035,1059500.0,937.0,31.0,30.0,24.0,28.3333333333
90038,686200.0,864.0,27.0,28.0,19.0,24.6666666667
90039,705900.0,914.333333333,80.0,93.0,64.0,79.0
90041,652000.0,904.285714286,695.0,748.0,722.0,721.666666667
90042,513700.0,841.0,109.0,102.0,91.0,100.666666667
90046,1121600.0,832.0,52.0,57.0,56.0,55.0
90049,2300200.0,940.0,43.0,38.0,33.0,38.0
90063,318500.0,610.0,12.0,16.0,15.0,14.3333333333
90065,599100.0,869.0,160.0,136.0,140.0,145.333333333
90066,986400.0,806.0,29.0,21.0,18.0,22.6666666667
90212,1859400.0,862.0,16.0,15.0,15.0,15.3333333333
90230,639800.0,891.0,64.0,63.0,54.0,60.3333333333
90240,485500.0,929.0,11.0,13.0,20.0,14.6666666667
90241,488300.0,899.666666667,90.0,90.0,82.0,87.3333333333
90242,414700.0,918.0,14.0,11.0,12.0,12.3333333333
90247,390100.0,876.0,51.0,37.0,26.0,38.0
90248,404200.0,835.5,50.0,50.0,46.0,48.6666666667
90250,467300.0,897.5,87.0,101.0,93.0,93.6666666667
90260,430300.0,825.333333333,58.0,60.0,59.0,59.0
90266,1856800.0,937.0,21.0,11.0,14.0,15.3333333333
90272,2342000.0,873.0,20.0,30.0,20.0,23.3333333333
90274,1632700.0,903.0,106.0,101.0,99.0,102.0
90275,1158900.0,943.666666667,145.0,138.0,139.0,140.666666667
90277,918300.0,918.0,72.0,74.0,82.0,76.0
90278,781000.0,963.0,13.0,16.0,12.0,13.6666666667
90405,1171700.0,880.0,14.0,15.0,15.0,14.6666666667
90501,545800.0,893.5,239.0,257.0,270.0,255.333333333
90502,371800.0,892.0,38.0,29.0,33.0,33.3333333333
90503,738500.0,898.833333333,209.0,223.0,230.0,220.666666667
90504,579000.0,894.666666667,115.0,103.0,99.0,105.666666667
90505,812100.0,899.8,128.0,121.0,118.0,122.333333333
90603,480800.0,936.0,22.0,15.0,11.0,16.0
90604,443500.0,926.333333333,51.0,65.0,69.0,61.6666666667
90605,408100.0,880.0,21.0,24.0,23.0,22.6666666667
90620,455700.0,932.428571429,263.0,289.0,294.0,282.0
90621,467200.0,888.8,136.0,136.0,142.0,138.0
90623,629200.0,901.0,382.0,383.0,371.0,378.666666667
90630,539800.0,926.5,411.0,415.0,400.0,408.666666667
90631,469300.0,871.0,49.0,48.0,33.0,43.3333333333
90638,466100.0,906.571428571,153.0,153.0,171.0,159.0
90650,375800.0,865.333333333,176.0,171.0,156.0,167.666666667
90670,403500.0,878.0,27.0,29.0,21.0,25.6666666667
90701,443400.0,918.0,174.0,188.0,199.0,187.0
90703,634800.0,924.4375,1214.0,1310.0,1343.0,1289.0
90706,401700.0,879.75,138.0,142.0,147.0,142.333333333
90710,472800.0,859.5,162.0,191.0,193.0,182.0
90712,468900.0,912.6,150.0,129.0,125.0,134.666666667
90713,484900.0,866.6,414.0,400.0,393.0,402.333333333
90715,415400.0,863.5,170.0,159.0,159.0,162.666666667
90717,570100.0,921.0,161.0,194.0,178.0,177.666666667
90720,797000.0,936.5,144.0,152.0,152.0,149.333333333
90723,321000.0,872.0,21.0,23.0,27.0,23.6666666667
90731,496200.0,845.0,68.0,69.0,70.0,69.0
90744,372200.0,897.0,68.0,64.0,67.0,66.3333333333
90745,400900.0,871.2,1650.0,1688.0,1304.0,1547.33333333
90804,399100.0,848.5,77.0,74.0,64.0,71.6666666667
90805,345800.0,817.333333333,104.0,86.0,78.0,89.3333333333
90806,422800.0,922.0,83.0,79.0,74.0,78.6666666667
90807,515000.0,920.333333333,195.0,209.0,199.0,201.0
90808,567700.0,918.666666667,91.0,79.0,81.0,83.6666666667
90810,349300.0,854.142857143,733.0,702.0,652.0,695.666666667
90813,321000.0,859.0,247.0,237.0,245.0,243.0
90815,572700.0,910.5,201.0,198.0,201.0,200.0
91006,1031300.0,930.75,60.0,69.0,80.0,69.6666666667
91007,1126100.0,873.5,84.0,93.0,104.0,93.6666666667
91010,429800.0,895.6,144.0,140.0,129.0,137.666666667
91016,560300.0,923.0,83.0,88.0,84.0,85.0
91030,851900.0,938.666666667,66.0,72.0,73.0,70.3333333333
91040,462100.0,871.0,51.0,64.0,64.0,59.6666666667
91042,474400.0,817.0,49.0,38.0,36.0,41.0
91101,452600.0,884.0,28.0,30.0,24.0,27.3333333333
91104,648700.0,872.0,23.0,20.0,18.0,20.3333333333
91106,554400.0,842.0,31.0,34.0,40.0,35.0
91107,764300.0,898.0,78.0,80.0,81.0,79.6666666667
