Zip,zindex,hi_avg_w,hi_num11,hi_num12,hi_num13,hi_num_avg
90720,797000.0,910.375,1353.0,1451.0,1552.0,1452.0
94502,733400.0,907.0,55.0,55.0,67.0,59.0
91377,692300.0,905.0,147.0,166.0,203.0,172.0
93619,373500.0,904.75,405.0,370.0,401.0,392.0
92603,990900.0,903.0,122.0,124.0,139.0,128.333333333
95663,509500.0,899.0,18.0,16.0,21.0,18.3333333333
93730,377600.0,894.333333333,538.0,566.0,610.0,571.333333333
92694,732200.0,892.0,387.0,404.0,406.0,399.0
94552,823300.0,891.25,383.0,402.0,405.0,396.666666667
91784,586900.0,890.666666667,672.0,675.0,676.0,674.333333333
93720,278300.0,889.2,1706.0,1828.0,1943.0,1825.66666667
92130,896100.0,888.272727273,484.0,529.0,607.0,540.0
91708,423500.0,888.0,272.0,290.0,269.0,277.0
94702,688800.0,886.0,38.0,39.0,35.0,37.3333333333
92679,771500.0,885.666666667,165.0,172.0,171.0,169.333333333
94526,990400.0,883.888888889,478.0,461.0,467.0,468.666666667
94582,944400.0,881.333333333,399.0,402.0,415.0,405.333333333
91361,866800.0,881.0,67.0,61.0,61.0,63.0
90603,480800.0,879.666666667,509.0,572.0,637.0,572.666666667
91607,702200.0,879.0,243.0,245.0,256.0,248.0
91208,817600.0,877.5,119.0,141.0,158.0,139.333333333
91750,540200.0,877.333333333,1004.0,995.0,1046.0,1015.0
92808,648200.0,877.333333333,374.0,373.0,353.0,366.666666667
90069,737800.0,876.0,61.0,60.0,49.0,56.6666666667
92549,229500.0,876.0,55.0,51.0,58.0,54.6666666667
95762,532600.0,875.444444444,546.0,566.0,613.0,575.0
92127,683300.0,875.125,461.0,530.0,509.0,500.0
92887,773900.0,874.5,250.0,244.0,252.0,248.666666667
95658,520100.0,874.0,37.0,38.0,40.0,38.3333333333
91326,676100.0,872.666666667,244.0,241.0,291.0,258.666666667
95765,405200.0,872.5,842.0,821.0,873.0,845.333333333
91914,609900.0,871.5,1652.0,1658.0,1731.0,1680.33333333
92886,678300.0,870.555555556,934.0,979.0,1025.0,979.333333333
95746,650400.0,868.25,207.0,210.0,216.0,211.0
91739,547600.0,868.222222222,3258.0,3421.0,3498.0,3392.33333333
92210,701500.0,867.0,170.0,186.0,199.0,185.0
90278,781000.0,866.4,382.0,391.0,402.0,391.666666667
90403,958100.0,865.666666667,306.0,285.0,296.0,295.666666667
91354,496900.0,865.2,788.0,872.0,856.0,838.666666667
92536,308800.0,865.0,63.0,69.0,62.0,64.6666666667
93650,107400.0,865.0,376.0,386.0,381.0,381.0
91916,354200.0,865.0,27.0,37.0,26.0,30.0
95683,423300.0,864.0,61.0,60.0,58.0,59.6666666667
93924,886700.0,863.0,50.0,41.0,48.0,46.3333333333
91307,572700.0,862.25,321.0,307.0,277.0,301.666666667
94583,778700.0,862.222222222,699.0,672.0,727.0,699.333333333
91024,828200.0,862.0,269.0,262.0,264.0,265.0
95666,181100.0,861.0,16.0,17.0,18.0,17.0
92845,532100.0,860.666666667,790.0,824.0,882.0,832.0
90277,918300.0,860.0,745.0,735.0,751.0,743.666666667
92009,736500.0,859.8,846.0,830.0,795.0,823.666666667
90740,809300.0,859.0,66.0,71.0,79.0,72.0
93908,704800.0,858.2,207.0,205.0,198.0,203.333333333
92131,671500.0,857.714285714,770.0,740.0,707.0,739.0
94595,476400.0,857.0,27.0,35.0,34.0,32.0
91501,650500.0,857.0,157.0,172.0,148.0,159.0
92129,652300.0,856.75,805.0,828.0,882.0,838.333333333
92648,797500.0,856.0,707.0,740.0,801.0,749.333333333
91301,753500.0,855.833333333,327.0,353.0,364.0,348.0
92782,642300.0,855.75,370.0,391.0,396.0,385.666666667
