Zip,zindex,hi_avg_w,hi_num11,hi_num12,hi_num13,hi_num_avg,,zindex rank,avg_w rank,,,,
90001,267100,736,6997,6956,6504,6819,,282,299,,,,
90002,254500,674.1818182,3876,3539,3452,3622.333333,,253,31,,pearson's correl,,0.409162026
90003,279900,718.8666667,8647,7615,7442,7901.333333,,304.5,183,,spearman's correl,,0.429339
90004,1094300,779.6666667,3174,3161,3064,3133,,1047,685,,rho,,0
90005,685100,705.7777778,3903,4042,4087,4010.666667,,878,107,,n,,1130
90006,511800,759.2857143,3641,3501,3367,3503,,702,509,,df,,1128
90007,491200,755,8549,8461,8404,8471.333333,,676,470,,sr,,0.026890704
90008,548600,686,894,875,884,884.3333333,,747,52.5,,t,,15.96607523
90010,741000,729,718,830,873,807,,923,259.5,,alpha,,0.05
90011,307400,732.8928571,15039,13578,13153,13923.33333,,349,278,,t-crit,,1.962069282
90012,408700,800,1660,1758,1744,1720.666667,,527,826,,p-value,,6.8357E-52
90015,571300,795.5,1886,1861,1901,1882.666667,,763,806,,,,
90016,431100,755.75,2044,2109,2167,2106.666667,,575,479,,,,
90017,497200,661.4444444,3944,3693,3642,3759.666667,,684,18,,,,
90018,427700,738.7272727,3397,3263,3176,3278.666667,,569,328,,,,
90019,807000,744,3908,3658,3464,3676.666667,,968,373.5,,,,
90022,336600,762.5384615,7710,7653,7765,7709.333333,,399,534,,,,
90023,316700,757.6923077,7754,7455,7204,7471,,360,502,,,,
90024,986200,795,472,428,366,422,,1023,803.5,,,,
90025,751100,813.4,1305,1153,1198,1218.666667,,930,890.5,,,,
90026,652100,701.7058824,5724,5480,5374,5526,,838,94,,,,
90027,1163200,770.75,1813,1470,1408,1563.666667,,1055,604,,,,
90028,653200,696.875,3221,2971,2684,2958.666667,,840.5,80,,,,
90029,659100,767.75,1976,1932,1848,1918.666667,,849,577,,,,
90031,404900,728.5714286,4134,4015,3671,3940,,516,256,,,,
90032,376600,737,5634,5240,5120,5331.333333,,461,308,,,,
90033,340200,678.2777778,7195,6800,6319,6771.333333,,407,39,,,,
90034,847800,775.2222222,2631,2603,2603,2612.333333,,986,645,,,,
90035,1059500,839.6666667,526,550,597,557.6666667,,1041,985,,,,
90036,1300000,729,137,141,150,142.6666667,,1080,259.5,,,,
90037,348200,728.1666667,4723,4805,3792,4440,,419,253,,,,
90038,686200,747.25,1903,1796,1699,1799.333333,,879,400,,,,
90039,705900,818.4,852,840,775,822.3333333,,896,909.5,,,,
90040,331600,766,997,999,1038,1011.333333,,389.5,562,,,,
90041,652000,824.4444444,3190,2803,2819,2937.333333,,837,925,,,,
90042,513700,748.8461538,5183,4751,4550,4828,,705,419,,,,
90043,410600,734.9,1700,1813,1930,1814.333333,,530,291,,,,
90044,300400,709.1666667,5513,5378,4958,5283,,334,129.5,,,,
90045,815900,816.1428571,770,818,805,797.6666667,,971,899,,,,
90046,1121600,784.5,1309,1372,1399,1360,,1051,727.5,,,,
90047,328200,705.4545455,1828,1802,1790,1806.666667,,384.5,105,,,,
90048,1203500,782,170,162,144,158.6666667,,1066,702.5,,,,
90049,2300200,861.5,1094,1074,1063,1077,,1118,1058,,,,
90059,261500,743.3076923,2735,2882,3064,2893.666667,,268,369,,,,
90061,289900,715.2,2632,2708,2515,2618.333333,,317,164,,,,
90062,371700,735.75,1325,1228,1152,1235,,452,296,,,,
90063,318500,674.0625,6991,6920,6731,6880.666667,,363.5,30,,,,
90064,1083800,787.75,637,627,608,624,,1044,748,,,,
90065,599100,784.4166667,3534,3504,3337,3458.333333,,792,726,,,,
90066,986400,760.5833333,3285,3042,2955,3094,,1024,521,,,,
90068,1164000,794,51,51,52,51.33333333,,1056,798,,,,
90069,737800,876,61,60,49,56.66666667,,921,1084.5,,,,
90201,337700,727.3157895,16787,16419,16267,16491,,402,245,,,,
90210,4140800,895.5,48,45,49,47.33333333,,1129,1112,,,,
90211,1635800,904,24,36,40,33.33333333,,1106,1116,,,,
90212,1859400,850,95,130,124,116.3333333,,1109,1026.5,,,,
90220,269200,755.5,4570,4580,4473,4541,,285,476.5,,,,
90221,287900,727.2,5294,5592,5719,5535,,315,240,,,,
90222,257100,728.875,2168,2073,2023,2088,,260,257,,,,
90230,639800,802.1111111,2184,2131,2039,2118,,823,835,,,,
90232,913100,820.5,382,387,376,381.6666667,,1004,915,,,,
90240,485500,835.5,2441,2377,2409,2409,,664,973.5,,,,
90241,488300,762.5714286,7348,7396,7619,7454.333333,,673,535,,,,
90242,414700,790.3,4853,4817,4782,4817.333333,,540,769,,,,
90245,846600,854,614,523,579,572,,985,1037.5,,,,
90247,390100,775.5714286,2746,2815,2786,2782.333333,,485,649,,,,
90248,404200,712.75,1510,1287,1252,1349.666667,,513.5,146,,,,
90249,415200,853.3333333,354,385,403,380.6666667,,542,1035,,,,
90250,467300,763.625,5555,5791,5845,5730.333333,,634,548,,,,
90254,1258900,873,90,61,87,79.33333333,,1072,1079,,,,
90255,334400,749.2666667,12498,11921,10016,11478.33333,,395,426,,,,
90260,430300,764.4166667,5453,5601,5705,5586.333333,,573,550,,,,
90262,304300,738,10498,9907,9964,10123,,344,320.5,,,,
90265,2423500,854.75,177,188,182,182.3333333,,1122,1041,,,,
90266,1856800,920.5714286,531,565,613,569.6666667,,1108,1125,,,,
90270,371400,786.6,2677,2692,2645,2671.333333,,450,738.5,,,,
90272,2342000,831,615,595,576,595.3333333,,1120,953.5,,,,
90274,1632700,887.1428571,403,434,460,432.3333333,,1105,1100,,,,
90275,1158900,863,1463,1554,1596,1537.666667,,1054,1062.5,,,,
90277,918300,860,745,735,751,743.6666667,,1005,1053,,,,
90278,781000,866.4,382,391,402,391.6666667,,953,1071,,,,
90280,332800,740.6190476,15580,15201,14311,15030.66667,,392.5,346,,,,
