Zip,zindex,mr_avg_w,mr_num11,mr_num12,mr_num13,mr_num_avg
94609,667700.0,983.0,17.0,18.0,25.0,20.0
91361,866800.0,976.0,20.0,20.0,24.0,21.3333333333
91301,753500.0,966.0,20.0,15.0,13.0,16.0
92808,648200.0,966.0,33.0,32.0,32.0,32.3333333333
92603,990900.0,965.333333333,56.0,94.0,140.0,96.6666666667
90025,751100.0,963.0,39.0,45.0,68.0,50.6666666667
91024,828200.0,962.0,55.0,48.0,45.0,49.3333333333
94610,867900.0,961.0,18.0,25.0,26.0,23.0
92831,534000.0,960.5,90.0,108.0,112.0,103.333333333
92009,736500.0,960.0,115.0,116.0,126.0,119.0
92833,471300.0,959.0,33.0,47.0,45.0,41.6666666667
91016,560300.0,957.0,12.0,13.0,17.0,14.0
90404,726000.0,956.0,20.0,24.0,24.0,22.6666666667
91504,646700.0,955.0,68.0,65.0,59.0,64.0
93720,278300.0,953.571428571,144.0,173.0,185.0,167.333333333
92705,792900.0,953.4,78.0,92.0,104.0,91.3333333333
93924,886700.0,952.0,22.0,19.0,26.0,22.3333333333
90720,797000.0,951.4,210.0,227.0,260.0,232.333333333
90230,639800.0,949.0,11.0,30.0,55.0,32.0
94502,733400.0,949.0,39.0,37.0,45.0,40.3333333333
90403,958100.0,948.666666667,129.0,90.0,86.0,101.666666667
92131,671500.0,947.166666667,296.0,364.0,423.0,361.0
94901,878500.0,947.0,11.0,14.0,16.0,13.6666666667
94606,393700.0,946.0,11.0,17.0,15.0,14.3333333333
92602,790000.0,944.666666667,69.0,90.0,99.0,86.0
94954,500000.0,944.0,17.0,25.0,32.0,24.6666666667
92024,803000.0,943.0,16.0,21.0,26.0,21.0
92870,568400.0,942.5,35.0,43.0,50.0,42.6666666667
90232,913100.0,942.0,11.0,16.0,18.0,15.0
91789,699700.0,940.0,36.0,37.0,38.0,37.0
92807,627100.0,939.666666667,58.0,73.0,89.0,73.3333333333
94710,662800.0,939.0,30.0,32.0,33.0,31.6666666667
92677,727400.0,938.833333333,238.0,219.0,212.0,223.0
91320,614200.0,938.333333333,68.0,68.0,75.0,70.3333333333
92679,771500.0,938.333333333,104.0,112.0,109.0,108.333333333
92236,174100.0,938.0,26.0,28.0,28.0,27.3333333333
92354,358900.0,938.0,30.0,29.0,36.0,31.6666666667
93619,373500.0,938.0,39.0,51.0,55.0,48.3333333333
91101,452600.0,938.0,26.0,17.0,16.0,19.6666666667
92701,372000.0,937.0,46.0,82.0,113.0,80.3333333333
92835,663700.0,936.25,83.0,101.0,121.0,101.666666667
92107,766900.0,935.5,68.0,82.0,92.0,80.6666666667
92122,589500.0,935.2,203.0,244.0,253.0,233.333333333
92673,806300.0,935.0,298.0,304.0,299.0,300.333333333
91708,423500.0,935.0,12.0,17.0,18.0,15.6666666667
94582,944400.0,933.875,383.0,396.0,444.0,407.666666667
92694,732200.0,933.25,164.0,152.0,173.0,163.0
92887,773900.0,933.0,30.0,37.0,50.0,39.0
94552,823300.0,932.5,185.0,198.0,179.0,187.333333333
90505,812100.0,931.166666667,146.0,161.0,195.0,167.333333333
91355,464500.0,931.0,69.0,75.0,78.0,74.0
93065,485800.0,931.0,55.0,68.0,82.0,68.3333333333
95762,532600.0,930.555555556,293.0,322.0,558.0,391.0
93021,573700.0,930.5,25.0,33.0,42.0,33.3333333333
92620,768300.0,929.25,65.0,145.0,165.0,125.0
94602,660100.0,929.0,13.0,26.0,28.0,22.3333333333
91505,615100.0,929.0,49.0,52.0,69.0,56.6666666667
92630,597800.0,928.8,192.0,224.0,247.0,221.0
90703,634800.0,928.625,165.0,185.0,202.0,184.0
92648,797500.0,928.5,141.0,173.0,186.0,166.666666667
90740,809300.0,928.0,33.0,28.0,34.0,31.6666666667
92115,397100.0,927.0,60.0,69.0,72.0,67.0
95677,348700.0,926.6,137.0,137.0,131.0,135.0
92886,678300.0,926.5,23.0,28.0,34.0,28.3333333333
95130,980700.0,926.333333333,125.0,133.0,154.0,137.333333333
95212,275800.0,926.0,40.0,42.0,51.0,44.3333333333
91362,719600.0,925.166666667,105.0,150.0,194.0,149.666666667
92210,701500.0,925.0,16.0,19.0,18.0,17.6666666667
95117,845300.0,925.0,11.0,14.0,32.0,19.0
94595,476400.0,925.0,14.0,15.0,21.0,16.6666666667
90245,846600.0,923.75,242.0,257.0,266.0,255.0
91750,540200.0,922.666666667,113.0,119.0,141.0,124.333333333
93730,377600.0,922.5,63.0,82.0,88.0,77.6666666667
94708,997000.0,922.0,24.0,25.0,27.0,25.3333333333
91784,586900.0,921.666666667,67.0,54.0,56.0,59.0
93117,754600.0,921.5,84.0,108.0,121.0,104.333333333
90503,738500.0,921.375,232.0,276.0,308.0,272.0
94598,826800.0,921.2,75.0,99.0,128.0,100.666666667
92782,642300.0,920.666666667,51.0,58.0,68.0,59.0
92614,611100.0,920.5,25.0,38.0,49.0,37.3333333333
95683,423300.0,920.0,21.0,15.0,15.0,17.0
92201,198700.0,919.0,14.0,12.0,12.0,12.6666666667
92688,573500.0,918.6,318.0,383.0,403.0,368.0
92672,765100.0,918.333333333,81.0,76.0,89.0,82.0
91104,648700.0,918.0,64.0,74.0,73.0,70.3333333333
94526,990400.0,917.714285714,339.0,342.0,366.0,349.0
95765,405200.0,917.222222222,300.0,345.0,377.0,340.666666667
91741,586600.0,917.0,174.0,175.0,178.0,175.666666667
94583,778700.0,916.555555556,476.0,465.0,485.0,475.333333333
92649,679100.0,915.5,63.0,54.0,49.0,55.3333333333
90623,629200.0,915.333333333,67.0,59.0,56.0,60.6666666667
92606,691400.0,915.0,42.0,64.0,84.0,63.3333333333
94703,729400.0,915.0,165.0,179.0,189.0,177.666666667
95066,703100.0,914.666666667,106.0,135.0,136.0,125.666666667
92804,446500.0,914.5,33.0,29.0,34.0,32.0
92647,611300.0,914.444444444,251.0,261.0,264.0,258.666666667
94611,942300.0,914.4,124.0,148.0,169.0,147.0
92260,321800.0,914.25,85.0,93.0,106.0,94.6666666667
95816,425100.0,914.0,99.0,115.0,112.0,108.666666667
91730,364200.0,914.0,37.0,44.0,37.0,39.3333333333
92691,606600.0,913.416666667,439.0,469.0,514.0,474.0
92069,435800.0,913.0,41.0,40.0,52.0,44.3333333333
94550,672600.0,911.333333333,38.0,181.0,216.0,145.0
92103,611200.0,911.333333333,62.0,74.0,88.0,74.6666666667
92011,767800.0,911.0,16.0,35.0,42.0,31.0
90620,455700.0,910.0,43.0,35.0,41.0,39.6666666667
94702,688800.0,910.0,25.0,25.0,30.0,26.6666666667
91737,544700.0,910.0,49.0,45.0,53.0,49.0
92604,682000.0,909.5,57.0,176.0,184.0,139.0
92596,344700.0,909.0,140.0,136.0,159.0,145.0
91709,584100.0,909.0,318.0,330.0,358.0,335.333333333
94947,625300.0,909.0,169.0,163.0,172.0,168.0
95630,424600.0,908.75,76.0,99.0,99.0,91.3333333333
92653,658300.0,908.5,68.0,67.0,85.0,73.3333333333
94596,804600.0,908.5,56.0,48.0,51.0,51.6666666667
92008,718500.0,907.714285714,246.0,217.0,238.0,233.666666667
93420,573300.0,907.333333333,65.0,65.0,71.0,67.0
92646,682100.0,906.833333333,166.0,180.0,209.0,185.0
92683,528200.0,906.5,40.0,44.0,43.0,42.3333333333
93950,713000.0,906.0,58.0,55.0,68.0,60.3333333333
91739,547600.0,905.0,301.0,312.0,327.0,313.333333333
92656,511400.0,903.25,411.0,445.0,495.0,450.333333333
91780,654900.0,902.8,92.0,102.0,113.0,102.333333333
91354,496900.0,902.5,116.0,146.0,151.0,137.666666667
92591,377800.0,902.0,321.0,325.0,352.0,332.666666667
91214,702100.0,902.0,11.0,16.0,20.0,15.6666666667
91502,445800.0,901.0,47.0,43.0,37.0,42.3333333333
91764,302100.0,900.0,15.0,18.0,16.0,16.3333333333
95065,661100.0,899.0,17.0,16.0,17.0,16.6666666667
92078,502000.0,899.0,22.0,20.0,28.0,23.3333333333
92592,401200.0,898.692307692,666.0,750.0,865.0,760.333333333
91360,602000.0,898.666666667,58.0,63.0,68.0,63.0
95020,595400.0,898.5,65.0,69.0,80.0,71.3333333333
92692,634400.0,898.4,264.0,261.0,250.0,258.333333333
92020,416600.0,898.25,96.0,110.0,125.0,110.333333333
92612,659300.0,898.0,53.0,88.0,100.0,80.3333333333
91377,692300.0,898.0,14.0,18.0,24.0,18.6666666667
94551,563900.0,898.0,20.0,23.0,24.0,22.3333333333
94546,581500.0,896.857142857,432.0,441.0,445.0,439.333333333
95746,650400.0,896.666666667,148.0,148.0,150.0,148.666666667
92119,487000.0,896.0,107.0,134.0,156.0,132.333333333
91740,447100.0,896.0,48.0,42.0,36.0,42.0
93405,598800.0,896.0,52.0,61.0,59.0,57.3333333333
92106,925700.0,896.0,56.0,57.0,69.0,60.6666666667
94534,426900.0,895.111111111,791.0,735.0,625.0,717.0
92109,718700.0,894.75,55.0,69.0,78.0,67.3333333333
94555,722200.0,894.666666667,60.0,85.0,87.0,77.3333333333
91773,518300.0,894.6,158.0,157.0,202.0,172.333333333
93401,615200.0,894.5,40.0,34.0,40.0,38.0
90630,539800.0,894.25,113.0,103.0,99.0,105.0
92120,506600.0,893.6,181.0,199.0,220.0,200.0
95054,816100.0,893.0,26.0,25.0,30.0,27.0
95662,330800.0,893.0,15.0,14.0,12.0,13.6666666667
93465,555700.0,891.5,45.0,40.0,35.0,40.0
91711,597300.0,891.333333333,174.0,191.0,222.0,195.666666667
91344,523800.0,891.0,21.0,64.0,81.0,55.3333333333
95210,162500.0,890.0,14.0,16.0,20.0,16.6666666667
95742,343900.0,890.0,49.0,55.0,65.0,56.3333333333
92123,466800.0,889.5,115.0,138.0,144.0,132.333333333
92563,357400.0,889.3,558.0,582.0,645.0,595.0
91321,407200.0,888.8,101.0,124.0,153.0,126.0
91351,399000.0,888.25,122.0,131.0,121.0,124.666666667
