Zip,zindex,avg_w
90001,267100.0,721.8
90002,254500.0,659.090909091
90003,279900.0,698.545454545
90004,1094300.0,842.8
90005,685100.0,731.333333333
90006,511800.0,769.666666667
90007,491200.0,752.727272727
90008,548600.0,649.0
90010,741000.0,766.0
90011,307400.0,706.95
90012,408700.0,821.4
90015,571300.0,785.0
90016,431100.0,700.714285714
90017,497200.0,638.714285714
90018,427700.0,736.428571429
90019,807000.0,739.428571429
90022,336600.0,745.166666667
90023,316700.0,744.363636364
90024,986200.0,958.5
90025,751100.0,771.0
90026,652100.0,688.333333333
90027,1163200.0,803.5
90028,653200.0,724.0
90029,659100.0,789.75
90031,404900.0,727.6
90032,376600.0,760.4
90033,340200.0,680.111111111
90034,847800.0,798.375
90035,1059500.0,868.333333333
90036,1300000.0,765.0
90037,348200.0,708.333333333
90038,686200.0,752.666666667
90039,705900.0,844.2
90040,331600.0,765.0
90041,652000.0,824.6
90042,513700.0,756.0
90043,410600.0,682.142857143
90044,300400.0,693.916666667
90045,815900.0,803.333333333
90046,1121600.0,807.5
90047,328200.0,649.0
90048,1203500.0,811.0
90049,2300200.0,848.0
90059,261500.0,744.888888889
90061,289900.0,751.5
90062,371700.0,694.666666667
90063,318500.0,674.2
90064,1083800.0,816.0
90065,599100.0,782.75
90066,986400.0,775.555555556
90068,1164000.0,834.0
90069,737800.0,922.0
90077,2477400.0,963.0
90201,337700.0,727.611111111
90210,4140800.0,916.0
90211,1635800.0,909.0
90212,1859400.0,891.5
90220,269200.0,743.5
90221,287900.0,731.666666667
90222,257100.0,725.5
90230,639800.0,827.333333333
90232,913100.0,850.5
90240,485500.0,841.0
90241,488300.0,769.857142857
90242,414700.0,792.5
90245,846600.0,899.0
90247,390100.0,777.666666667
90248,404200.0,707.666666667
90249,415200.0,854.0
90250,467300.0,758.642857143
90254,1258900.0,944.0
90255,334400.0,735.454545455
90260,430300.0,757.666666667
90262,304300.0,735.941176471
90265,2423500.0,908.0
90266,1856800.0,949.857142857
90270,371400.0,785.6
90274,1632700.0,882.75
90275,1158900.0,924.5
90277,918300.0,853.833333333
90278,781000.0,912.2
90280,332800.0,731.315789474
90291,1373800.0,896.0
90292,821800.0,762.0
90293,541700.0,875.0
90301,321600.0,735.125
90302,319500.0,792.0
