Zip,zindex,pi_avg_w,pi_num11,pi_num12,pi_num13,pi_num_avg
92078,502000.0,955.0,11.0,13.0,16.0,13.3333333333
91335,422400.0,915.0,14.0,13.0,12.0,13.0
92374,291200.0,880.0,13.0,12.0,14.0,13.0
92069,435800.0,876.0,13.0,13.0,14.0,13.3333333333
92592,401200.0,865.0,14.0,15.0,14.0,14.3333333333
95124,896300.0,864.0,20.0,16.0,11.0,15.6666666667
90277,918300.0,860.0,20.0,19.0,17.0,18.6666666667
90808,567700.0,857.5,35.0,34.0,33.0,34.0
90712,468900.0,848.666666667,53.0,65.0,69.0,62.3333333333
94534,426900.0,848.0,12.0,15.0,16.0,14.3333333333
92056,412800.0,848.0,26.0,21.0,18.0,21.6666666667
91789,699700.0,847.0,11.0,21.0,19.0,17.0
92563,357400.0,843.0,12.0,16.0,16.0,14.6666666667
92126,461200.0,840.5,43.0,33.0,31.0,35.6666666667
90720,797000.0,840.0,14.0,12.0,19.0,15.0
93555,151700.0,839.0,11.0,15.0,15.0,13.6666666667
90503,738500.0,837.0,14.0,12.0,13.0,13.0
91913,457300.0,834.0,30.0,32.0,33.0,31.6666666667
95355,246900.0,833.6,78.0,78.0,68.0,74.6666666667
92508,401300.0,830.0,13.0,12.0,12.0,12.3333333333
95368,242000.0,828.0,14.0,13.0,11.0,12.6666666667
95758,293400.0,827.0,86.0,91.0,83.0,86.6666666667
94533,262000.0,827.0,14.0,20.0,20.0,18.0
92646,682100.0,824.0,20.0,23.0,15.0,19.3333333333
91910,400100.0,824.0,27.0,25.0,23.0,25.0
92584,309800.0,822.0,13.0,11.0,18.0,14.0
92081,466600.0,821.0,21.0,23.0,20.0,21.3333333333
91739,547600.0,821.0,16.0,12.0,13.0,13.6666666667
90815,572700.0,821.0,32.0,31.0,26.0,29.6666666667
95833,272900.0,820.0,15.0,14.0,12.0,13.6666666667
91701,470000.0,817.5,29.0,35.0,35.0,33.0
92084,447300.0,817.0,24.0,27.0,28.0,26.3333333333
92708,666300.0,816.0,14.0,15.0,17.0,15.3333333333
90504,579000.0,816.0,15.0,17.0,15.0,15.6666666667
90501,545800.0,810.0,12.0,14.0,12.0,12.6666666667
95356,265900.0,810.0,15.0,21.0,16.0,17.3333333333
90703,634800.0,809.0,24.0,23.0,24.0,23.6666666667
92591,377800.0,808.0,15.0,13.0,11.0,13.0
92057,382000.0,804.142857143,176.0,179.0,167.0,174.0
90807,515000.0,804.0,26.0,28.0,26.0,26.6666666667
95206,174900.0,801.0,18.0,15.0,16.0,16.3333333333
91915,453700.0,801.0,20.0,21.0,11.0,17.3333333333
95209,244100.0,798.0,19.0,16.0,16.0,17.0
92058,386200.0,798.0,37.0,38.0,44.0,39.6666666667
94561,337400.0,795.0,20.0,17.0,20.0,19.0
92683,528200.0,788.0,17.0,20.0,16.0,17.6666666667
95624,329700.0,787.0,136.0,139.0,139.0,138.0
95757,378600.0,787.0,81.0,67.0,54.0,67.3333333333
94587,604100.0,785.6,183.0,156.0,150.0,163.0
93933,415600.0,785.333333333,64.0,60.0,59.0,61.0
95212,275800.0,785.0,12.0,19.0,17.0,16.0
91911,372300.0,784.0,16.0,19.0,12.0,15.6666666667
90717,570100.0,784.0,31.0,26.0,27.0,28.0
95829,301700.0,783.5,47.0,50.0,46.0,47.6666666667
92801,424600.0,782.0,19.0,14.0,17.0,16.6666666667
92626,641900.0,779.0,32.0,22.0,17.0,23.6666666667
90806,422800.0,778.0,22.0,21.0,18.0,20.3333333333
95207,179100.0,778.0,18.0,25.0,27.0,23.3333333333
90810,349300.0,777.0,200.0,178.0,173.0,183.666666667
92129,652300.0,777.0,19.0,11.0,14.0,14.6666666667
94565,293900.0,775.5,80.0,85.0,86.0,83.6666666667
94588,789400.0,775.0,15.0,11.0,12.0,12.6666666667
95336,257800.0,775.0,17.0,15.0,13.0,15.0
95834,311500.0,774.0,38.0,43.0,45.0,42.0
95035,729500.0,774.0,30.0,26.0,20.0,25.3333333333
90745,400900.0,772.666666667,409.0,408.0,379.0,398.666666667
94066,732000.0,770.6,155.0,137.0,142.0,144.666666667
94545,455700.0,770.125,225.0,219.0,216.0,220.0
94560,581900.0,769.666666667,80.0,75.0,71.0,75.3333333333
92120,506600.0,769.0,17.0,15.0,11.0,14.3333333333
95351,139200.0,769.0,16.0,13.0,14.0,14.3333333333
94503,419400.0,768.0,11.0,13.0,13.0,12.3333333333
92311,93000.0,766.5,32.0,33.0,27.0,30.6666666667
90638,466100.0,766.0,15.0,15.0,18.0,16.0
90247,390100.0,764.0,14.0,13.0,19.0,15.3333333333
90805,345800.0,763.9,309.0,314.0,294.0,305.666666667
90731,496200.0,763.5,30.0,30.0,33.0,31.0
95330,288700.0,763.0,12.0,17.0,14.0,14.3333333333
95670,235800.0,763.0,18.0,18.0,17.0,17.6666666667
95377,414600.0,762.0,25.0,23.0,16.0,21.3333333333
93065,485800.0,759.0,16.0,30.0,14.0,20.0
90250,467300.0,759.0,20.0,18.0,20.0,19.3333333333
95824,144300.0,758.0,12.0,13.0,12.0,12.3333333333
95503,230600.0,758.0,11.0,13.0,13.0,12.3333333333
90723,321000.0,757.0,35.0,38.0,42.0,38.3333333333
92840,447800.0,757.0,23.0,21.0,18.0,20.6666666667
95363,252000.0,756.0,53.0,59.0,54.0,55.3333333333
90744,372200.0,755.5,58.0,43.0,28.0,43.0
94591,323100.0,755.0,78.0,87.0,77.0,80.6666666667
94080,698500.0,752.5,67.0,87.0,50.0,68.0
95133,609700.0,752.0,14.0,18.0,13.0,15.0
91762,325400.0,749.0,15.0,14.0,16.0,15.0
91941,514100.0,747.0,36.0,34.0,20.0,30.0
92585,280300.0,747.0,13.0,13.0,16.0,14.0
95357,231700.0,745.0,29.0,29.0,26.0,28.0
95828,203800.0,744.0,74.0,66.0,59.0,66.3333333333
94603,255500.0,744.0,13.0,14.0,17.0,14.6666666667
90706,401700.0,741.0,44.0,33.0,38.0,38.3333333333
95835,305200.0,739.666666667,60.0,53.0,57.0,56.6666666667
94401,703600.0,738.0,90.0,94.0,84.0,89.3333333333
92804,446500.0,736.0,82.0,73.0,56.0,70.3333333333
93955,375500.0,734.0,56.0,52.0,47.0,51.6666666667
95350,193400.0,731.0,19.0,18.0,20.0,19.0
94601,320000.0,731.0,18.0,20.0,20.0,19.3333333333
92376,251800.0,728.0,18.0,19.0,12.0,16.3333333333
95823,185300.0,727.714285714,200.0,218.0,214.0,210.666666667
92841,464200.0,726.0,20.0,17.0,14.0,17.0
95376,314800.0,726.0,25.0,23.0,16.0,21.3333333333
95822,194800.0,725.0,48.0,53.0,48.0,49.6666666667
95827,224800.0,722.0,14.0,20.0,17.0,17.0
92844,435900.0,720.0,23.0,14.0,14.0,17.0
95691,295400.0,718.0,11.0,16.0,18.0,15.0
90713,484900.0,718.0,90.0,78.0,71.0,79.6666666667
94580,447900.0,716.666666667,54.0,59.0,48.0,53.6666666667
95843,304600.0,716.0,35.0,28.0,31.0,31.3333333333
94531,360800.0,714.0,26.0,27.0,20.0,24.3333333333
95832,170200.0,713.0,21.0,17.0,26.0,21.3333333333
95831,356500.0,713.0,28.0,31.0,29.0,29.3333333333
95688,405900.0,711.0,19.0,20.0,16.0,18.3333333333
94044,714100.0,710.0,21.0,23.0,23.0,22.3333333333
92780,574400.0,710.0,16.0,19.0,19.0,18.0
92277,93200.0,708.0,33.0,29.0,33.0,31.6666666667
95838,199200.0,702.0,116.0,95.0,89.0,100.0
92507,280600.0,701.0,15.0,15.0,12.0,14.0
90710,472800.0,701.0,46.0,42.0,49.0,45.6666666667
90804,399100.0,701.0,16.0,21.0,20.0,19.0
91977,359000.0,701.0,13.0,13.0,17.0,14.3333333333
94538,644400.0,699.0,13.0,18.0,14.0,15.0
94124,610100.0,698.0,101.0,74.0,77.0,84.0
94541,436400.0,697.0,47.0,48.0,46.0,47.0
95051,859000.0,696.0,27.0,23.0,17.0,22.3333333333
90221,287900.0,693.5,30.0,27.0,28.0,28.3333333333
94014,598200.0,693.0,22.0,21.0,17.0,20.0
94928,414300.0,691.0,19.0,11.0,11.0,13.6666666667
90813,321000.0,691.0,76.0,71.0,72.0,73.0
92114,342000.0,687.0,32.0,34.0,35.0,33.6666666667
94501,727800.0,686.0,20.0,16.0,15.0,17.0
94509,273500.0,686.0,16.0,14.0,13.0,14.3333333333
94403,960600.0,683.333333333,88.0,77.0,71.0,78.6666666667
90260,430300.0,682.0,26.0,19.0,19.0,21.3333333333
