Zip,zindex,sd_avg_w,sd_num11,sd_num12,sd_num13,sd_num_avg
93730,377600.0,884.666666667,496.0,539.0,581.0,538.666666667
90720,797000.0,884.125,725.0,776.0,937.0,812.666666667
91377,692300.0,879.8,131.0,148.0,230.0,169.666666667
94502,733400.0,877.5,69.0,78.0,71.0,72.6666666667
91326,676100.0,873.666666667,247.0,230.0,250.0,242.333333333
94132,854100.0,872.5,869.0,920.0,969.0,919.333333333
91307,572700.0,872.25,384.0,396.0,375.0,385.0
92694,732200.0,871.5,202.0,273.0,306.0,260.333333333
93619,373500.0,871.5,473.0,367.0,383.0,407.666666667
92536,308800.0,869.0,139.0,141.0,127.0,135.666666667
91607,702200.0,868.0,322.0,357.0,379.0,352.666666667
93720,278300.0,867.1,1721.0,2016.0,2101.0,1946.0
91203,411500.0,866.0,288.0,275.0,302.0,288.333333333
90069,737800.0,866.0,61.0,49.0,50.0,53.3333333333
91784,586900.0,865.666666667,440.0,468.0,487.0,465.0
91708,423500.0,865.0,201.0,224.0,241.0,222.0
92845,532100.0,864.5,811.0,818.0,993.0,874.0
92210,701500.0,863.0,190.0,200.0,195.0,195.0
91030,851900.0,862.4,435.0,567.0,616.0,539.333333333
92603,990900.0,862.333333333,120.0,121.0,147.0,129.333333333
92549,229500.0,862.0,130.0,115.0,119.0,121.333333333
95658,520100.0,862.0,96.0,93.0,117.0,102.0
90630,539800.0,859.5,1737.0,1992.0,2123.0,1950.66666667
91750,540200.0,858.666666667,587.0,636.0,678.0,633.666666667
91208,817600.0,858.5,180.0,210.0,248.0,212.666666667
91789,699700.0,857.5,1372.0,1354.0,1731.0,1485.66666667
95135,922500.0,857.0,219.0,221.0,218.0,219.333333333
90740,809300.0,856.0,27.0,41.0,45.0,37.6666666667
92808,648200.0,855.666666667,226.0,235.0,262.0,241.0
91780,654900.0,855.5,1626.0,1766.0,1921.0,1771.0
92887,773900.0,855.0,110.0,139.0,135.0,128.0
91775,753000.0,854.75,455.0,529.0,522.0,502.0
93650,107400.0,853.0,451.0,458.0,477.0,462.0
95742,343900.0,853.0,109.0,121.0,129.0,119.666666667
91739,547600.0,852.333333333,1814.0,2192.0,2704.0,2236.66666667
92620,768300.0,852.125,347.0,459.0,558.0,454.666666667
