Zip,zindex,avg_w,num11,num12,num13,num_avg
95135,922500.0,961.333333333,2201.0,2275.0,2320.0,2265.33333333
92603,990900.0,959.75,2163.0,2236.0,2236.0,2211.66666667
92130,896100.0,949.833333333,8166.0,8275.0,8380.0,8273.66666667
94502,733400.0,947.0,709.0,689.0,746.0,714.666666667
94555,722200.0,944.666666667,1790.0,1885.0,1958.0,1877.66666667
94552,823300.0,942.25,2057.0,2107.0,2089.0,2084.33333333
92620,768300.0,940.625,5134.0,5435.0,5777.0,5448.66666667
90720,797000.0,939.75,6690.0,6678.0,6822.0,6730.0
94582,944400.0,938.111111111,6041.0,6559.0,7022.0,6540.66666667
90403,958100.0,935.666666667,2076.0,2029.0,2024.0,2043.0
92694,732200.0,933.0,3020.0,3125.0,3281.0,3142.0
93924,886700.0,932.0,248.0,251.0,252.0,250.333333333
93619,373500.0,931.5,2033.0,1919.0,1951.0,1967.66666667
95033,925200.0,931.0,491.0,513.0,508.0,504.0
92602,790000.0,928.25,3215.0,3501.0,3975.0,3563.66666667
91030,851900.0,927.2,3335.0,3427.0,3482.0,3414.66666667
92604,682000.0,927.125,5714.0,5891.0,6025.0,5876.66666667
93730,377600.0,927.0,2767.0,3012.0,3174.0,2984.33333333
92127,683300.0,927.0,5176.0,5656.0,5820.0,5550.66666667
92782,642300.0,926.0,2431.0,2443.0,2296.0,2390.0
92618,723800.0,926.0,561.0,617.0,597.0,591.666666667
96146,507900.0,925.0,44.0,37.0,51.0,44.0
92009,736500.0,924.7,6181.0,6186.0,6084.0,6150.33333333
92007,860900.0,924.0,526.0,526.0,520.0,524.0
95138,927000.0,923.5,974.0,943.0,932.0,949.666666667
92679,771500.0,923.333333333,1616.0,1573.0,1505.0,1564.66666667
92612,659300.0,922.666666667,2849.0,2878.0,2827.0,2851.33333333
90069,737800.0,922.0,168.0,197.0,233.0,199.333333333
92887,773900.0,920.5,1630.0,1569.0,1529.0,1576.0
91326,676100.0,920.0,1205.0,1200.0,1153.0,1186.0
94588,789400.0,919.666666667,4585.0,4600.0,4595.0,4593.33333333
93720,278300.0,919.6,6120.0,6133.0,6084.0,6112.33333333
95762,532600.0,918.444444444,5666.0,5647.0,5745.0,5686.0
94595,476400.0,918.0,322.0,356.0,356.0,344.666666667
90740,809300.0,918.0,447.0,472.0,491.0,470.0
94702,688800.0,917.0,198.0,201.0,203.0,200.666666667
92808,648200.0,916.666666667,2132.0,2181.0,2165.0,2159.33333333
94583,778700.0,916.333333333,5871.0,5840.0,6042.0,5917.66666667
92614,611100.0,915.8,2245.0,2283.0,2372.0,2300.0
92129,652300.0,915.083333333,8176.0,8153.0,8284.0,8204.33333333
91208,817600.0,915.0,929.0,984.0,1029.0,980.666666667
95683,423300.0,915.0,354.0,352.0,341.0,349.0
91784,586900.0,914.0,2044.0,2023.0,1979.0,2015.33333333
90278,781000.0,912.2,1614.0,1697.0,1727.0,1679.33333333
92210,701500.0,912.0,516.0,501.0,502.0,506.333333333
91708,423500.0,912.0,625.0,701.0,719.0,681.666666667
91789,699700.0,911.9,7624.0,7542.0,7465.0,7543.66666667
94960,992700.0,911.666666667,1377.0,1046.0,1112.0,1178.33333333
92107,766900.0,911.5,1565.0,1538.0,1548.0,1550.33333333
92011,767800.0,911.0,959.0,1020.0,1067.0,1015.33333333
92835,663700.0,909.0,1916.0,1951.0,2017.0,1961.33333333
91024,828200.0,908.0,796.0,817.0,862.0,825.0
94598,826800.0,907.714285714,3583.0,3604.0,3683.0,3623.33333333
94708,997000.0,907.5,627.0,649.0,657.0,644.333333333
95746,650400.0,907.4,2995.0,2977.0,2859.0,2943.66666667
92688,573500.0,907.0,8082.0,7943.0,7727.0,7917.33333333
92131,671500.0,905.714285714,5312.0,5187.0,5244.0,5247.66666667
91775,753000.0,905.25,1249.0,1323.0,1333.0,1301.66666667
92128,526900.0,905.0,4672.0,4644.0,4722.0,4679.33333333
91354,496900.0,904.2,3768.0,3839.0,3944.0,3850.33333333
90505,812100.0,903.0,4653.0,4698.0,4700.0,4683.66666667
94706,718100.0,902.8,2717.0,2720.0,2758.0,2731.66666667
90630,539800.0,902.625,6448.0,6503.0,6558.0,6503.0
94930,742200.0,902.5,825.0,849.0,866.0,846.666666667
92648,797500.0,902.25,4170.0,4265.0,4313.0,4249.33333333
94517,678500.0,902.0,1176.0,1229.0,1175.0,1193.33333333
95130,980700.0,901.5,2044.0,2093.0,2104.0,2080.33333333
95742,343900.0,901.0,444.0,540.0,589.0,524.333333333
90803,791800.0,900.4,2001.0,2012.0,2016.0,2009.66666667
94611,942300.0,900.363636364,5030.0,5105.0,5321.0,5152.0
91307,572700.0,899.25,1216.0,1236.0,1231.0,1227.66666667
90245,846600.0,899.0,2392.0,2427.0,2522.0,2447.0
91750,540200.0,898.333333333,2278.0,2259.0,2295.0,2277.33333333
94596,804600.0,898.333333333,1584.0,1653.0,1626.0,1621.0
91914,609900.0,898.0,3248.0,3244.0,3427.0,3306.33333333
94597,657200.0,897.0,1416.0,1437.0,1458.0,1437.0
91607,702200.0,897.0,618.0,648.0,671.0,645.666666667
93430,746900.0,897.0,160.0,172.0,173.0,168.333333333
93463,664300.0,897.0,526.0,515.0,523.0,521.333333333
92845,532100.0,897.0,3521.0,3506.0,3523.0,3516.66666667
92646,682100.0,896.6,5927.0,5976.0,6115.0,6006.0
95677,348700.0,896.333333333,2290.0,2273.0,2291.0,2284.66666667
92886,678300.0,896.3,5198.0,5203.0,5109.0,5170.0
95650,473700.0,895.833333333,2846.0,2930.0,2902.0,2892.66666667
95124,896300.0,895.5,5399.0,5615.0,5778.0,5597.33333333
91765,624600.0,895.0,7060.0,7014.0,6933.0,7002.33333333
94132,854100.0,894.5,2056.0,2121.0,2188.0,2121.66666667
91301,753500.0,894.333333333,3516.0,3605.0,3596.0,3572.33333333
91739,547600.0,893.777777778,7723.0,8000.0,8151.0,7958.0
91780,654900.0,893.333333333,4027.0,4049.0,4131.0,4069.0
93908,704800.0,893.2,1098.0,1100.0,1091.0,1096.33333333
90603,480800.0,893.0,865.0,905.0,983.0,917.666666667
92122,589500.0,892.8,3635.0,3606.0,3529.0,3590.0
92549,229500.0,892.0,226.0,193.0,202.0,207.0
92029,630500.0,892.0,414.0,406.0,388.0,402.666666667
90503,738500.0,891.25,5305.0,5312.0,5364.0,5327.0
93111,832700.0,891.0,1080.0,1077.0,1063.0,1073.33333333
92807,627100.0,890.5,5536.0,5485.0,5536.0,5519.0
95693,527800.0,890.0,322.0,301.0,306.0,309.666666667
91362,719600.0,889.0,5074.0,5070.0,5081.0,5075.0
95452,847500.0,889.0,99.0,91.0,113.0,101.0
91709,584100.0,888.785714286,10712.0,10594.0,10476.0,10594.0
95409,536500.0,888.5,1573.0,1603.0,1567.0,1581.0
91403,842500.0,887.5,742.0,757.0,781.0,760.0
94566,919800.0,886.555555556,6639.0,6691.0,6617.0,6649.0
95658,520100.0,886.5,464.0,480.0,468.0,470.666666667
95066,703100.0,886.333333333,1549.0,1531.0,1488.0,1522.66666667
90024,986200.0,886.333333333,1404.0,1384.0,1252.0,1346.66666667
95616,578700.0,886.076923077,5433.0,5458.0,5490.0,5460.33333333
92883,423200.0,886.0,2220.0,2452.0,2631.0,2434.33333333
92656,511400.0,885.25,6481.0,6379.0,6453.0,6437.66666667
91361,866800.0,884.666666667,770.0,794.0,755.0,773.0
92536,308800.0,884.0,179.0,188.0,166.0,177.666666667
91214,702100.0,883.454545455,6691.0,6540.0,6484.0,6571.66666667
93950,713000.0,883.2,1440.0,1531.0,1630.0,1533.66666667
95630,424600.0,882.1875,8283.0,8592.0,8646.0,8507.0
92673,806300.0,882.166666667,5060.0,5092.0,5202.0,5118.0
95618,536700.0,882.0,713.0,685.0,612.0,670.0
94526,990400.0,881.8,6746.0,6798.0,6865.0,6803.0
94949,769200.0,881.666666667,882.0,941.0,959.0,927.333333333
92677,727400.0,881.625,4048.0,3898.0,3883.0,3943.0
90404,726000.0,881.5,564.0,571.0,563.0,566.0
91942,414000.0,880.5,1930.0,1742.0,1784.0,1818.66666667
91741,586600.0,879.833333333,4688.0,4820.0,4832.0,4780.0
92692,634400.0,878.333333333,4774.0,4676.0,4501.0,4650.33333333
92120,506600.0,877.833333333,4014.0,4073.0,4051.0,4046.0
91423,821000.0,877.666666667,2696.0,2856.0,2846.0,2799.33333333
95663,509500.0,877.0,174.0,178.0,172.0,174.666666667
92354,358900.0,877.0,630.0,468.0,473.0,523.666666667
92649,679100.0,876.75,3771.0,3696.0,3649.0,3705.33333333
95747,391600.0,876.75,8213.0,8014.0,7849.0,8025.33333333
94116,930600.0,876.166666667,3661.0,3618.0,3696.0,3658.33333333
93012,517700.0,876.0,4069.0,4251.0,4325.0,4215.0
95661,379100.0,875.777777778,4249.0,4176.0,4285.0,4236.66666667
95682,360100.0,875.625,3090.0,3053.0,3119.0,3087.33333333
95065,661100.0,875.0,246.0,278.0,279.0,267.666666667
93602,243400.0,875.0,63.0,57.0,68.0,62.6666666667
95462,349900.0,875.0,67.0,63.0,63.0,64.3333333333
91316,534800.0,875.0,679.0,717.0,763.0,719.666666667
95391,487100.0,875.0,1249.0,1371.0,1543.0,1387.66666667
90293,541700.0,875.0,372.0,360.0,356.0,362.666666667
91501,650500.0,875.0,891.0,903.0,869.0,887.666666667
93650,107400.0,875.0,637.0,631.0,642.0,636.666666667
90623,629200.0,874.6,3952.0,3910.0,3842.0,3901.33333333
92126,461200.0,874.555555556,6382.0,6341.0,6330.0,6351.0
95405,445700.0,874.25,1309.0,1347.0,1339.0,1331.66666667
92119,487000.0,874.2,2053.0,1964.0,1945.0,1987.33333333
91737,544700.0,874.0,4172.0,4140.0,4162.0,4158.0
94709,772100.0,874.0,274.0,268.0,250.0,264.0
92508,401300.0,874.0,5767.0,5724.0,6008.0,5833.0
91916,354200.0,872.0,111.0,108.0,114.0,111.0
91203,411500.0,872.0,388.0,363.0,373.0,374.666666667
94710,662800.0,872.0,274.0,304.0,301.0,293.0
95765,405200.0,871.785714286,6357.0,6573.0,6719.0,6549.66666667
92591,377800.0,871.0,6047.0,5871.0,5766.0,5894.66666667
95709,267200.0,870.0,329.0,272.0,262.0,287.666666667
95465,830700.0,870.0,151.0,150.0,142.0,147.666666667
90732,552500.0,869.5,1243.0,1228.0,1260.0,1243.66666667
91701,470000.0,869.4,7840.0,7872.0,7829.0,7847.0
92260,321800.0,869.4,3933.0,4029.0,4085.0,4015.66666667
91377,692300.0,869.142857143,3079.0,3223.0,3485.0,3262.33333333
95421,440200.0,867.0,50.0,40.0,40.0,43.3333333333
91355,464500.0,866.7,5290.0,5406.0,5563.0,5419.66666667
