Zip,zindex,wh_avg_w,wh_num11,wh_num12,wh_num13,wh_num_avg
94702,688800.0,982.0,71.0,78.0,85.0,78.0
94609,667700.0,979.0,58.0,79.0,107.0,81.3333333333
94703,729400.0,965.666666667,498.0,534.0,552.0,528.0
94710,662800.0,965.0,85.0,117.0,122.0,108.0
94708,997000.0,964.5,336.0,373.0,367.0,358.666666667
94606,393700.0,963.0,14.0,17.0,25.0,18.6666666667
90249,415200.0,959.0,27.0,23.0,19.0,23.0
90069,737800.0,957.0,73.0,103.0,125.0,100.333333333
94709,772100.0,955.0,81.0,91.0,89.0,87.0
93924,886700.0,951.0,169.0,179.0,175.0,174.333333333
90026,652100.0,950.0,27.0,19.0,17.0,21.0
90403,958100.0,948.666666667,1342.0,1337.0,1338.0,1339.0
90293,541700.0,948.0,84.0,82.0,75.0,80.3333333333
94552,823300.0,948.0,587.0,564.0,589.0,580.0
94502,733400.0,947.0,225.0,203.0,210.0,212.666666667
94611,942300.0,945.9,2182.0,2313.0,2384.0,2293.0
92603,990900.0,945.75,857.0,954.0,941.0,917.333333333
93111,832700.0,944.75,561.0,525.0,488.0,524.666666667
90720,797000.0,944.75,3888.0,3750.0,3685.0,3774.33333333
92007,860900.0,944.5,404.0,406.0,401.0,403.666666667
93619,373500.0,942.75,1109.0,1106.0,1097.0,1104.0
95135,922500.0,942.0,260.0,230.0,226.0,238.666666667
92107,766900.0,942.0,875.0,859.0,885.0,873.0
93101,794600.0,941.0,272.0,250.0,223.0,248.333333333
92130,896100.0,940.25,5236.0,5140.0,5031.0,5135.66666667
91030,851900.0,940.2,1145.0,1114.0,1104.0,1121.0
92210,701500.0,940.0,294.0,263.0,246.0,267.666666667
90404,726000.0,939.0,137.0,153.0,160.0,150.0
91345,419000.0,938.0,44.0,37.0,41.0,40.6666666667
92104,478800.0,936.0,67.0,73.0,106.0,82.0
92694,732200.0,936.0,2114.0,2205.0,2325.0,2214.66666667
90024,986200.0,935.333333333,657.0,637.0,608.0,634.0
92009,736500.0,935.1,4478.0,4514.0,4447.0,4479.66666667
91024,828200.0,933.0,381.0,424.0,470.0,425.0
95033,925200.0,933.0,408.0,419.0,394.0,407.0
93720,278300.0,932.8,3067.0,2971.0,2841.0,2959.66666667
95138,927000.0,932.5,323.0,303.0,281.0,302.333333333
92602,790000.0,932.25,1062.0,1173.0,1294.0,1176.33333333
94132,854100.0,932.0,388.0,318.0,291.0,332.333333333
94901,878500.0,931.333333333,942.0,1004.0,1024.0,990.0
92705,792900.0,931.222222222,2854.0,2795.0,2646.0,2765.0
93648,123000.0,931.0,104.0,89.0,87.0,93.3333333333
90803,791800.0,930.2,1073.0,1104.0,1121.0,1099.33333333
90740,809300.0,930.0,297.0,317.0,328.0,314.0
92706,494100.0,930.0,45.0,40.0,48.0,44.3333333333
91326,676100.0,929.666666667,659.0,498.0,457.0,538.0
93730,377600.0,929.666666667,1565.0,1674.0,1715.0,1651.33333333
90807,515000.0,929.333333333,435.0,430.0,428.0,431.0
90230,639800.0,929.285714286,1126.0,1145.0,1148.0,1139.66666667
95130,980700.0,928.5,735.0,732.0,712.0,726.333333333
92782,642300.0,928.0,1026.0,1019.0,956.0,1000.33333333
92122,589500.0,927.8,1507.0,1511.0,1464.0,1494.0
94949,769200.0,927.666666667,403.0,416.0,401.0,406.666666667
94063,691300.0,927.5,151.0,167.0,178.0,165.333333333
92679,771500.0,926.666666667,1199.0,1147.0,1089.0,1145.0
94706,718100.0,926.2,1098.0,1029.0,1025.0,1050.66666667
96146,507900.0,926.0,44.0,35.0,47.0,42.0
95683,423300.0,926.0,252.0,258.0,248.0,252.666666667
94595,476400.0,925.0,226.0,247.0,238.0,237.0
90278,781000.0,924.2,802.0,859.0,869.0,843.333333333
93463,664300.0,924.0,311.0,286.0,285.0,294.0
91784,586900.0,923.666666667,1010.0,1004.0,983.0,999.0
92069,435800.0,923.571428571,2195.0,2127.0,2114.0,2145.33333333
92887,773900.0,923.5,1106.0,1044.0,983.0,1044.33333333
92701,372000.0,923.5,680.0,743.0,792.0,738.333333333
91914,609900.0,923.25,671.0,681.0,716.0,689.333333333
94122,980300.0,923.2,441.0,275.0,296.0,337.333333333
92011,767800.0,923.0,638.0,664.0,681.0,661.0
90814,642700.0,923.0,174.0,181.0,176.0,177.0
94526,990400.0,922.888888889,5111.0,5211.0,5223.0,5181.66666667
92620,768300.0,922.75,1659.0,1742.0,1702.0,1701.0
90277,918300.0,922.6,1930.0,1975.0,1991.0,1965.33333333
92236,174100.0,922.0,145.0,146.0,165.0,152.0
92835,663700.0,921.75,736.0,735.0,781.0,750.666666667
92127,683300.0,921.25,2784.0,2929.0,2904.0,2872.33333333
91101,452600.0,921.0,108.0,110.0,104.0,107.333333333
90005,685100.0,921.0,136.0,133.0,113.0,127.333333333
94960,992700.0,920.666666667,1153.0,883.0,911.0,982.333333333
95762,532600.0,920.333333333,4136.0,4039.0,3890.0,4021.66666667
91307,572700.0,920.25,661.0,530.0,522.0,571.0
91750,540200.0,920.0,886.0,893.0,863.0,880.666666667
94930,742200.0,919.5,696.0,704.0,722.0,707.333333333
92688,573500.0,918.2,5490.0,5293.0,5078.0,5287.0
91708,423500.0,918.0,163.0,179.0,187.0,176.333333333
95693,527800.0,918.0,202.0,190.0,193.0,195.0
92604,682000.0,917.625,2178.0,2256.0,2253.0,2229.0
94103,886800.0,917.5,35.0,31.0,32.0,32.6666666667
92129,652300.0,917.416666667,4191.0,4031.0,3939.0,4053.66666667
92618,723800.0,917.0,221.0,227.0,206.0,218.0
94598,826800.0,916.571428571,2390.0,2282.0,2244.0,2305.33333333
94801,236800.0,916.0,22.0,28.0,40.0,30.0
92808,648200.0,915.666666667,1148.0,1198.0,1205.0,1183.66666667
94903,772700.0,915.5,1470.0,1389.0,1368.0,1409.0
92131,671500.0,915.285714286,2727.0,2569.0,2568.0,2621.33333333
95124,896300.0,915.2,3030.0,3122.0,3137.0,3096.33333333
95618,536700.0,915.0,417.0,392.0,317.0,375.333333333
92102,363200.0,915.0,255.0,231.0,227.0,237.666666667
91362,719600.0,914.857142857,3231.0,3166.0,3126.0,3174.33333333
95616,578700.0,913.307692308,3304.0,3294.0,3207.0,3268.33333333
91739,547600.0,913.111111111,2073.0,2096.0,2079.0,2082.66666667
91208,817600.0,913.0,601.0,607.0,608.0,605.333333333
94597,657200.0,912.0,953.0,937.0,921.0,937.0
95742,343900.0,912.0,155.0,211.0,254.0,206.666666667
92103,611200.0,911.6,525.0,535.0,568.0,542.666666667
94583,778700.0,911.555555556,3124.0,3022.0,3034.0,3060.0
95065,661100.0,911.5,149.0,167.0,154.0,156.666666667
90603,480800.0,911.333333333,271.0,246.0,260.0,259.0
95816,425100.0,911.0,556.0,547.0,528.0,543.666666667
90065,599100.0,911.0,270.0,309.0,328.0,302.333333333
94596,804600.0,910.666666667,1062.0,1107.0,1095.0,1088.0
93117,754600.0,910.6,1754.0,1685.0,1616.0,1685.0
90041,652000.0,910.5,488.0,432.0,444.0,454.666666667
93650,107400.0,910.5,131.0,127.0,131.0,129.666666667
90245,846600.0,910.5,1232.0,1321.0,1340.0,1297.66666667
92110,503000.0,910.0,343.0,292.0,306.0,313.666666667
95409,536500.0,909.666666667,1055.0,1045.0,981.0,1027.0
94089,748000.0,909.0,28.0,31.0,37.0,32.0
92648,797500.0,909.0,2589.0,2563.0,2613.0,2588.33333333
94582,944400.0,908.666666667,1388.0,1375.0,1388.0,1383.66666667
91104,648700.0,908.333333333,374.0,393.0,425.0,397.333333333
92264,277100.0,908.0,167.0,169.0,166.0,167.333333333
92883,423200.0,907.75,979.0,1172.0,1175.0,1108.66666667
91354,496900.0,907.4,2065.0,2005.0,2068.0,2046.0
92614,611100.0,907.0,830.0,903.0,924.0,885.666666667
92029,630500.0,907.0,276.0,266.0,231.0,257.666666667
93430,746900.0,907.0,131.0,145.0,142.0,139.333333333
94517,678500.0,907.0,896.0,893.0,869.0,886.0
