Zip,zindex,wh_avg_w,wh_num11,wh_num12,wh_num13,wh_num_avg,,zindex rank,avg_w rank,,,,
90004,1094300,954,138,114,110,120.6666667,,1000,1059,,,,
90005,685100,921,136,133,113,127.3333333,,833,952.5,,pearson's correl,,0.57305231
90007,491200,813,64,63,50,59,,635,283.5,,spearman's correl,,0.698472306
90012,408700,858.5,106,113,135,118,,491,588.5,,rho,,0
90016,431100,889,35,25,17,25.66666667,,536,782,,n,,1084
90024,986200,935.3333333,657,637,608,634,,976,1011,,df,,1082
90025,751100,879,695,663,745,701,,884,715.5,,sr,,0.021756008
90026,652100,950,27,19,17,21,,793,1052.5,,t,,32.10480105
90027,1163200,849.3333333,493,480,492,488.3333333,,1008,526,,alpha,,0.05
90028,653200,782.8,434,425,383,414,,795.5,144,,t-crit,,1.962158885
90029,659100,862.6666667,262,277,322,287,,804,619,,p-value,,2.0788E-159
90032,376600,854,170,236,192,199.3333333,,430,564.5,,,,
90033,340200,854,161,133,94,129.3333333,,378,564.5,,,,
90034,847800,892.4285714,1069,1015,940,1008,,939,804,,,,
90035,1059500,922.5,550,562,569,560.3333333,,994,957,,,,
90036,1300000,895,144,129,115,129.3333333,,1033,818.5,,,,
90038,686200,790.5,87,85,78,83.33333333,,834,177,,,,
90039,705900,882.3333333,194,179,200,191,,851,742,,,,
90041,652000,910.5,488,432,444,454.6666667,,792,905,,,,
90042,513700,825.5,56,48,42,48.66666667,,663,365,,,,
90045,815900,906.125,522,487,424,477.6666667,,924,883,,,,
90046,1121600,902.2857143,898,1021,1091,1003.333333,,1004,856,,,,
90048,1203500,892.5,122,94,62,92.66666667,,1019,805,,,,
90049,2300200,954.75,1537,1524,1514,1525,,1071,1060,,,,
90063,318500,711,92,69,69,76.66666667,,343.5,22,,,,
90064,1083800,842.75,251,276,282,269.6666667,,997,484,,,,
90065,599100,911,270,309,328,302.3333333,,748,909.5,,,,
90066,986400,885.4444444,918,933,870,907,,977,758,,,,
90068,1164000,867,70,66,75,70.33333333,,1009,647,,,,
90069,737800,957,73,103,125,100.3333333,,876,1065.5,,,,
90077,2477400,962,252,239,255,248.6666667,,1076,1075,,,,
90201,337700,718.8,105,88,89,94,,373,27,,,,
90210,4140800,916,878,836,839,851,,1083,931.5,,,,
90211,1635800,904,325,311,283,306.3333333,,1059,864.5,,,,
90212,1859400,891,1423,1437,1324,1394.666667,,1062,795.5,,,,
90230,639800,929.2857143,1126,1145,1148,1139.666667,,778,987,,,,
90232,913100,890,146,168,177,163.6666667,,957,789.5,,,,
90240,485500,867.25,232,203,183,206,,623,649,,,,
90241,488300,834.5,722,634,567,641,,632,431,,,,
90242,414700,835,366,322,283,323.6666667,,502,434,,,,
90245,846600,910.5,1232,1321,1340,1297.666667,,937,905,,,,
90247,390100,826,29,32,30,30.33333333,,454,373,,,,
90249,415200,959,27,23,19,23,,504,1069,,,,
90250,467300,770.2857143,186,220,225,210.3333333,,594,102,,,,
90254,1258900,949,766,820,808,798,,1025,1051,,,,
90260,430300,808.5,268,252,240,253.3333333,,534,254,,,,
90265,2423500,916.5,1214,1181,1167,1187.333333,,1075,933.5,,,,
90266,1856800,948.4285714,3267,3241,3199,3235.666667,,1061,1049,,,,
90272,2342000,932,1609,1550,1561,1573.333333,,1073,1001.5,,,,
90274,1632700,881,3216,3271,3239,3242,,1058,734.5,,,,
90275,1158900,928.4,2355,2185,2093,2211,,1007,985,,,,
90277,918300,922.6,1930,1975,1991,1965.333333,,958,958,,,,
90278,781000,924.2,802,859,869,843.3333333,,907,972,,,,
90280,332800,861,13,11,11,11.66666667,,365.5,610,,,,
90290,1100900,945,158,163,144,155,,1001,1041,,,,
90291,1373800,944,138,127,134,133,,1040,1035,,,,
90292,821800,791,12,17,24,17.66666667,,928,181.5,,,,
90293,541700,948,84,82,75,80.33333333,,695,1047.5,,,,
